time,Y,X,LAPrec1901
1901-11-01,2725000.0,4255000.0,28.0
1901-11-01,2725000.0,4260000.0,27.0
1901-11-01,2730000.0,4250000.0,29.0
1901-11-01,2730000.0,4255000.0,27.0
1901-11-01,2730000.0,4260000.0,25.0
1901-11-01,2735000.0,4250000.0,24.0
1901-11-01,2735000.0,4255000.0,24.0
1901-11-01,2735000.0,4260000.0,22.0
1901-11-01,2740000.0,4250000.0,23.0
1901-11-01,2740000.0,4255000.0,23.0
1901-11-01,2740000.0,4260000.0,23.0
1901-12-01,2725000.0,4250000.0,52.0
1901-12-01,2725000.0,4255000.0,51.0
1901-12-01,2725000.0,4260000.0,51.0
1901-12-01,2730000.0,4250000.0,51.0
1901-12-01,2730000.0,4255000.0,47.0
1901-12-01,2730000.0,4260000.0,44.0
1901-12-01,2735000.0,4250000.0,42.0
1901-12-01,2735000.0,4255000.0,40.0
1901-12-01,2735000.0,4260000.0,38.0
1901-12-01,2740000.0,4250000.0,40.0
1901-12-01,2740000.0,4255000.0,39.0
1901-12-01,2740000.0,4260000.0,39.0
1902-01-01,2725000.0,4250000.0,36.0
1902-01-01,2725000.0,4255000.0,35.0
1902-01-01,2725000.0,4260000.0,34.0
1902-01-01,2730000.0,4250000.0,37.0
1902-01-01,2730000.0,4255000.0,33.0
1902-01-01,2730000.0,4260000.0,30.0
1902-01-01,2735000.0,4250000.0,31.0
1902-01-01,2735000.0,4255000.0,29.0
1902-01-01,2735000.0,4260000.0,27.0
1902-01-01,2740000.0,4250000.0,30.0
1902-01-01,2740000.0,4255000.0,31.0
1902-01-01,2740000.0,4260000.0,31.0
1902-02-01,2725000.0,4250000.0,62.0
1902-02-01,2725000.0,4255000.0,59.0
1902-02-01,2725000.0,4260000.0,56.0
1902-02-01,2730000.0,4250000.0,61.0
1902-02-01,2730000.0,4255000.0,57.0
1902-02-01,2730000.0,4260000.0,53.0
1902-02-01,2735000.0,4250000.0,55.0
1902-02-01,2735000.0,4255000.0,53.0
1902-02-01,2735000.0,4260000.0,50.0
1902-02-01,2740000.0,4250000.0,55.0
1902-02-01,2740000.0,4255000.0,54.0
1902-02-01,2740000.0,4260000.0,52.0
1902-03-01,2725000.0,4250000.0,64.0
1902-03-01,2725000.0,4255000.0,61.0
1902-03-01,2725000.0,4260000.0,57.0
1902-03-01,2730000.0,4250000.0,62.0
1902-03-01,2730000.0,4255000.0,56.0
1902-03-01,2730000.0,4260000.0,50.0
1902-03-01,2735000.0,4250000.0,52.0
1902-03-01,2735000.0,4255000.0,49.0
1902-03-01,2735000.0,4260000.0,46.0
1902-03-01,2740000.0,4250000.0,50.0
1902-03-01,2740000.0,4255000.0,49.0
1902-03-01,2740000.0,4260000.0,49.0
1902-04-01,2725000.0,4250000.0,40.0
1902-04-01,2725000.0,4255000.0,39.0
1902-04-01,2725000.0,4260000.0,37.0
1902-04-01,2730000.0,4250000.0,39.0
1902-04-01,2730000.0,4255000.0,37.0
1902-04-01,2730000.0,4260000.0,34.0
1902-04-01,2735000.0,4250000.0,35.0
1902-04-01,2735000.0,4255000.0,35.0
1902-04-01,2735000.0,4260000.0,33.0
1902-04-01,2740000.0,4250000.0,35.0
1902-04-01,2740000.0,4255000.0,34.0
1902-04-01,2740000.0,4260000.0,33.0
1902-05-01,2725000.0,4250000.0,118.0
1902-05-01,2725000.0,4255000.0,116.0
1902-05-01,2725000.0,4260000.0,113.0
1902-05-01,2730000.0,4250000.0,114.0
1902-05-01,2730000.0,4255000.0,109.0
1902-05-01,2730000.0,4260000.0,103.0
1902-05-01,2735000.0,4250000.0,103.0
1902-05-01,2735000.0,4255000.0,103.0
1902-05-01,2735000.0,4260000.0,99.0
1902-05-01,2740000.0,4250000.0,100.0
1902-05-01,2740000.0,4255000.0,103.0
1902-05-01,2740000.0,4260000.0,104.0
1902-06-01,2725000.0,4250000.0,77.0
1902-06-01,2725000.0,4255000.0,77.0
1902-06-01,2725000.0,4260000.0,78.0
1902-06-01,2730000.0,4250000.0,73.0
