Year,1,2,3,4,5,6,7,8,9,10,11,12,Yearly_Sum
1921,39.25,3.67,17.17,45.17,87.0,79.67,46.42,109.67,49.92,23.75,60.08,27.08,588.8500000000001
1922,70.67,73.75,74.58,144.33,58.58,128.58,131.25,119.33,107.83,85.67,82.25,79.58,1156.4
1923,46.92,61.5,26.67,62.58,84.83,83.92,40.75,48.33,58.17,130.17,105.5,92.5,841.8399999999999
1924,26.08,15.58,32.25,111.75,120.92,122.75,126.5,116.17,63.75,47.08,17.75,20.42,820.9999999999999
1925,32.67,33.92,41.92,94.75,58.5,45.08,98.33,116.17,96.92,28.25,51.42,98.58,796.5099999999999
1926,53.17,30.67,51.5,32.67,132.75,196.58,140.83,47.42,37.42,105.67,44.42,31.25,904.3499999999999
1927,52.92,65.5,76.42,92.67,70.33,113.33,115.42,175.25,144.58,18.5,54.83,24.75,1004.5
1928,41.58,50.0,42.42,54.25,83.0,85.92,17.83,127.0,37.0,89.42,102.67,62.83,793.92
1929,27.17,15.0,13.17,76.33,53.67,80.58,99.17,88.92,23.75,83.75,31.25,93.33,686.09
1930,28.75,16.67,42.67,139.33,132.0,62.92,181.17,98.42,70.08,120.67,100.0,36.83,1029.51
1931,88.58,60.83,96.0,64.83,99.75,85.67,137.0,132.92,74.83,58.0,18.08,34.08,950.5700000000002
1932,43.0,9.0,71.42,56.25,128.58,105.67,138.5,77.42,62.5,86.75,33.17,13.58,825.84
1933,31.92,43.08,40.33,50.92,151.83,151.83,72.58,46.33,73.92,78.5,53.33,8.67,803.2400000000001
1934,53.75,7.33,56.5,18.42,27.75,132.75,99.83,130.75,86.25,78.75,28.67,46.5,767.2499999999999
1935,43.33,93.75,44.25,113.5,95.33,83.92,56.0,100.17,70.5,131.92,32.17,103.58,968.4199999999998
1936,93.0,64.92,37.67,105.58,53.75,126.92,162.58,85.42,156.08,45.92,47.83,45.25,1024.92
1937,50.25,102.58,92.0,100.58,77.17,110.25,70.08,88.25,110.33,36.25,48.75,42.08,928.57
1938,99.83,33.75,23.5,36.08,89.75,124.17,143.92,151.33,61.92,51.75,23.25,51.67,890.92
1939,50.42,18.67,106.75,53.75,206.58,95.42,126.92,86.67,124.83,176.58,89.08,59.25,1194.9199999999998
1940,41.58,52.92,74.42,58.58,131.5,108.75,147.33,91.5,221.08,53.58,110.0,60.67,1151.9100000000003
1941,76.08,47.67,48.0,69.0,110.75,100.58,90.92,137.0,19.33,84.42,35.5,34.42,853.67
1942,72.25,33.42,60.92,48.83,105.42,93.33,132.0,79.83,73.92,56.58,35.25,21.17,812.9200000000001
1943,55.92,33.92,38.75,55.33,51.5,123.58,78.92,29.0,98.58,0.0,65.25,22.08,652.83
1944,53.67,80.75,43.42,37.92,34.75,103.08,117.17,89.0,107.42,72.67,170.83,62.58,973.26
1945,53.08,49.92,72.33,61.42,71.58,66.25,64.67,140.92,107.17,35.58,43.58,62.92,829.42
1946,30.75,69.25,24.5,20.58,110.25,172.75,140.0,94.17,76.42,40.67,31.75,32.58,843.6699999999998
1947,51.83,33.0,99.25,27.08,66.67,79.25,62.0,29.5,41.67,19.5,120.5,85.58,715.83
1948,94.58,46.25,12.83,32.58,60.75,156.0,135.0,109.25,52.17,28.08,39.25,18.42,785.16
1949,43.0,14.25,44.75,78.67,101.42,36.0,26.33,55.5,56.0,15.83,42.67,69.58,584.0
1950,33.25,51.42,14.92,95.17,66.67,80.67,83.58,150.58,99.75,23.5,189.08,30.5,919.09
1951,66.42,68.17,78.67,45.25,65.67,119.25,112.67,106.83,63.58,39.58,74.67,40.83,881.5900000000001
1952,58.25,66.5,94.25,64.33,60.5,72.67,38.08,75.08,97.5,123.25,145.58,92.08,988.07
1953,20.42,32.58,4.42,70.33,81.92,169.25,120.17,37.58,60.75,34.83,16.5,29.83,678.5800000000002
1954,63.17,47.17,22.5,70.83,76.33,91.0,126.25,161.0,135.17,53.17,36.5,68.42,951.5099999999999
1955,120.0,81.5,30.17,31.25,106.83,126.08,167.33,77.42,71.0,34.58,12.33,93.0,951.49
1956,73.08,15.08,27.5,80.5,99.83,81.58,175.83,143.08,41.67,97.75,41.83,17.42,895.15
1957,21.75,104.75,40.58,41.67,64.83,139.92,131.67,83.17,83.0,18.17,17.58,24.25,771.3399999999999
1958,75.67,124.5,34.83,78.58,77.17,97.5,99.33,94.42,61.67,89.42,39.75,61.17,934.0099999999999
1959,95.67,6.67,60.58,67.58,64.83,120.5,65.92,66.25,18.58,83.83,35.83,60.83,747.0700000000002
1960,53.17,62.75,40.33,47.08,80.83,109.5,107.08,121.0,69.33,95.83,69.42,46.83,903.1500000000001
1961,59.58,51.08,29.17,72.58,113.75,120.08,98.92,103.83,30.58,37.83,28.92,72.17,818.49
1962,95.25,49.75,74.5,42.67,112.58,49.58,57.67,71.75,60.0,9.25,24.17,78.92,726.0899999999999
1963,37.42,45.0,87.42,56.92,78.58,127.17,81.75,131.5,59.83,47.33,98.17,4.75,855.84
1964,16.08,34.17,103.5,72.83,123.17,83.25,43.83,92.5,51.83,72.0,77.33,23.17,793.66
1965,61.33,31.75,75.42,121.92,136.42,133.5,139.08,70.5,110.0,12.92,123.0,123.0,1138.8400000000001
1966,51.42,87.33,77.42,90.67,97.58,80.5,134.83,139.42,39.33,72.33,56.08,95.33,1022.2400000000001
1967,60.92,38.5,85.42,35.5,120.42,98.58,56.67,88.33,98.92,41.33,50.08,51.0,825.6700000000001
1968,104.67,60.83,41.83,73.08,85.75,76.08,87.58,167.5,153.67,30.75,27.67,38.75,948.1599999999999
1969,34.92,52.08,41.42,86.58,76.58,159.08,80.83,150.17,23.25,9.58,89.33,55.58,859.4000000000001
1970,58.58,146.92,49.5,126.42,91.25,81.75,71.75,144.42,39.75,53.83,64.33,25.42,953.9200000000001
1971,22.25,42.42,37.25,36.25,66.08,159.92,65.5,113.33,47.5,28.0,69.92,25.33,713.75
1972,18.08,7.5,21.08,93.17,67.17,116.25,92.92,60.67,26.67,34.83,197.25,22.5,758.09
1973,30.0,47.58,22.33,76.33,58.5,135.5,124.75,62.0,49.25,98.17,88.08,51.0,843.49
1974,40.58,63.75,34.83,36.5,91.25,99.75,93.83,89.08,78.92,133.92,92.58,73.0,927.9899999999999
1975,60.5,19.33,50.25,64.08,67.42,146.75,79.17,174.58,77.08,47.58,95.33,9.25,891.3200000000002
1976,39.08,24.17,20.0,63.25,73.58,46.58,152.33,48.25,84.33,45.58,46.58,79.17,722.9000000000001
1977,63.83,94.17,44.25,135.83,42.58,123.67,124.17,103.33,49.75,63.83,92.5,51.75,989.6600000000001
1978,50.25,91.92,93.58,43.83,151.83,123.33,103.92,151.58,53.58,63.92,17.17,70.75,1015.66
1979,84.17,72.17,99.58,88.17,53.33,122.92,50.08,102.92,94.25,45.67,113.67,74.92,1001.8499999999999
1980,83.0,54.58,59.75,85.0,72.5,138.83,124.75,68.67,37.92,110.67,37.08,43.92,916.6699999999998
1981,74.0,28.92,77.33,26.58,111.83,48.92,125.92,53.58,136.5,179.67,56.25,160.25,1079.75
1982,107.58,18.33,61.17,32.25,57.25,128.92,133.42,126.92,52.08,97.42,43.58,105.67,964.5899999999999
1983,60.0,52.5,56.75,94.42,141.17,75.5,29.17,100.25,101.0,32.42,58.75,38.83,840.76
1984,87.33,58.42,21.5,44.33,103.92,80.5,74.42,89.0,193.08,36.08,56.25,57.33,902.1600000000002
1985,70.67,49.33,36.83,89.67,128.75,90.75,49.17,87.5,37.42,8.67,95.67,38.75,783.1799999999998
1986,99.0,34.67,58.5,145.17,127.83,103.5,114.58,122.08,29.58,70.5,42.58,61.75,1009.7400000000002
1987,46.5,65.67,61.33,61.33,143.17,161.67,118.5,79.92,106.0,41.58,65.92,43.58,995.17
1988,58.0,67.75,153.42,50.5,77.75,95.58,94.83,107.0,62.67,85.5,43.58,102.83,999.41
1989,8.5,46.08,40.42,140.83,36.0,66.25,146.0,84.75,46.25,69.33,44.0,60.92,789.33
1990,28.25,107.25,39.08,71.75,64.92,158.92,56.17,70.17,92.58,86.67,103.58,55.0,934.3399999999999
1991,51.33,21.92,49.5,50.83,94.33,163.0,81.83,24.42,78.83,32.92,85.67,48.58,783.16
1992,15.5,53.58,87.92,79.25,27.58,105.92,94.42,77.42,49.33,124.08,132.5,64.58,912.0800000000002
1993,31.0,20.0,29.75,49.25,77.17,107.08,167.92,95.17,85.5,90.5,33.42,102.5,889.2599999999999
1994,75.83,39.08,52.58,102.33,156.17,73.83,84.08,105.25,105.08,52.0,36.92,88.25,971.4
1995,101.67,75.33,91.17,52.75,154.83,126.83,78.58,121.92,77.42,7.83,73.5,109.33,1071.16
1996,5.25,44.33,40.33,32.08,102.42,69.25,121.67,136.08,38.08,75.08,98.17,59.67,822.41
1997,8.83,63.17,25.75,59.83,33.5,136.5,119.17,54.42,36.25,57.92,22.17,111.58,729.09
1998,59.33,26.92,54.17,70.17,41.33,88.33,72.17,55.33,116.0,119.42,97.0,31.58,831.75
1999,53.0,113.08,52.75,105.67,187.67,126.67,88.08,89.83,80.58,49.17,81.42,120.58,1148.5
2000,22.58,89.42,68.08,46.33,101.08,52.33,160.17,105.08,97.08,52.08,73.33,27.33,894.8900000000001
2001,81.58,37.92,182.33,98.83,73.0,130.75,73.58,78.83,125.5,68.58,86.5,44.42,1081.8200000000002
2002,12.92,75.83,50.5,56.92,140.92,86.17,103.42,135.08,128.08,108.67,140.33,63.25,1102.0900000000001
2003,61.92,30.17,22.92,38.92,71.83,57.92,84.67,53.33,35.58,115.42,49.08,30.5,652.26
2004,130.58,34.08,44.25,41.08,89.58,89.17,86.25,90.92,48.92,96.83,24.08,52.58,828.32
2005,36.08,50.5,49.33,97.83,91.92,66.67,94.5,145.58,63.08,58.25,28.83,53.5,836.0700000000002
2006,17.75,41.17,120.5,126.67,123.5,46.25,46.5,163.08,96.67,46.17,27.67,53.42,909.3499999999999
2007,44.83,68.5,66.17,11.25,157.92,110.5,131.08,157.33,63.25,10.17,44.75,66.25,932.0
2008,51.67,28.92,67.17,124.25,36.08,70.92,101.5,102.0,76.08,85.42,32.0,64.75,840.76
2009,28.75,49.75,87.92,21.92,83.5,101.5,138.42,47.75,29.42,51.25,79.58,96.5,816.26
2010,39.5,41.17,41.0,22.17,128.25,88.17,119.42,145.58,66.33,43.83,58.83,120.67,914.9200000000002
2011,47.42,25.33,32.17,24.92,69.17,97.0,132.67,70.25,73.33,50.67,0.83,148.42,772.18
2012,80.33,15.75,18.08,80.67,63.83,132.25,69.33,141.0,67.17,94.92,99.67,120.75,983.7499999999999
2013,42.5,68.67,53.0,75.92,136.67,107.92,54.42,66.33,94.42,91.33,87.83,36.83,915.8400000000001
2014,48.42,44.42,29.33,53.17,67.58,70.5,210.67,110.75,56.42,65.42,65.25,52.08,874.01
2015,80.92,25.75,53.17,82.33,127.0,97.5,37.5,64.83,44.67,43.0,70.42,17.42,744.5099999999999
2016,116.75,87.0,34.5,98.08,146.33,152.92,99.67,66.92,61.33,51.5,69.92,1.17,986.0899999999998
2017,46.58,48.08,48.17,90.33,75.17,76.17,102.5,110.75,71.92,43.17,82.75,82.17,877.7599999999999
2018,116.75,39.75,48.17,13.75,92.83,58.83,40.92,74.83,62.0,35.92,15.67,90.92,690.3399999999998
2019,51.08,31.08,51.0,47.17,126.67,69.33,94.17,120.17,55.83,105.0,45.5,52.5,849.5
2020,24.08,111.5,51.75,27.42,60.0,118.0,50.33,144.58,41.67,89.5,20.58,57.08,796.49
