Year,1,2,3,4,5,6,7,8,9,10,11,12,Yearly_Sum
1871,35.75,44.75,34.33,120.5,28.92,120.42,76.33,70.0,33.58,88.92,31.58,10.42,695.5
1872,36.08,37.5,37.67,71.83,206.67,133.17,83.92,115.25,30.75,69.58,70.0,65.75,958.17
1873,17.67,30.42,64.42,103.75,92.83,95.92,100.25,90.42,75.08,91.08,52.17,20.0,834.01
1874,17.08,14.0,34.0,66.42,104.08,97.17,105.33,66.25,37.75,24.33,72.83,73.75,712.99
1875,77.83,20.42,33.42,21.92,76.17,128.33,99.33,56.33,73.5,97.5,130.42,18.92,834.0899999999999
1876,26.17,90.67,147.17,82.5,70.83,206.25,53.08,81.0,89.92,5.75,66.17,43.58,963.0899999999999
1877,47.83,87.0,93.75,96.75,105.67,51.58,135.67,78.67,39.33,37.08,75.67,73.92,922.92
1878,64.0,22.25,70.08,95.75,101.75,145.67,103.67,113.75,76.33,67.58,45.75,66.33,972.9100000000001
1879,38.08,88.42,19.33,69.58,87.5,99.25,119.5,80.08,98.0,53.67,95.33,31.5,880.24
1880,15.67,30.33,16.75,95.67,49.92,122.67,101.33,105.83,74.08,196.08,37.0,85.33,930.6600000000002
1881,29.83,39.33,51.75,69.0,67.83,91.92,57.25,131.92,158.58,56.17,20.0,27.25,800.83
1882,18.58,16.33,25.5,59.33,70.67,153.17,106.08,84.83,188.0,84.67,126.42,92.75,1026.33
1883,27.92,25.75,33.67,38.17,93.0,106.83,125.67,50.0,86.33,63.5,63.33,49.58,763.7500000000001
1884,36.25,35.58,11.5,49.75,60.67,76.75,98.0,80.92,35.83,36.0,16.75,71.33,609.33
1885,7.0,53.75,61.67,30.0,108.42,47.92,82.92,53.67,123.83,107.75,30.17,82.08,789.1800000000001
1886,32.33,22.5,45.75,55.33,69.33,153.25,94.92,116.58,42.92,54.92,57.5,98.58,843.91
1887,4.67,6.17,78.33,39.75,106.75,52.33,74.92,68.08,60.75,42.0,27.33,76.33,637.4100000000001
1888,20.58,41.75,104.17,95.0,34.92,125.58,140.17,120.67,135.58,104.33,44.08,8.25,975.08
1889,10.83,83.0,39.33,58.17,71.17,165.0,93.67,77.58,82.67,104.67,47.5,17.0,850.5899999999999
1890,62.25,4.92,22.92,42.33,100.58,96.33,89.42,205.0,28.42,104.33,52.75,8.5,817.75
1891,20.5,5.67,53.75,55.33,90.92,99.58,151.33,86.08,73.75,45.67,77.75,82.25,842.58
1892,56.75,46.67,32.75,71.33,32.58,113.17,90.0,60.67,115.33,129.42,27.0,28.33,804.0
1893,34.75,64.5,20.92,0.0,71.67,69.58,126.67,26.33,99.67,61.83,64.5,19.67,660.09
1894,22.42,26.08,32.08,62.92,117.5,67.17,108.0,82.67,86.0,91.83,22.92,42.83,762.4200000000001
1895,53.0,17.25,59.58,66.5,77.25,98.33,56.92,82.92,7.83,62.83,74.67,99.5,756.58
1896,16.58,13.08,95.75,115.83,73.5,132.5,111.17,122.92,140.5,98.5,35.42,33.75,989.4999999999999
1897,25.58,92.0,70.83,90.5,77.42,78.5,81.08,160.0,149.58,11.17,21.25,33.25,891.16
1898,13.25,79.83,37.5,86.67,110.25,138.42,88.75,47.83,26.58,77.5,79.0,35.83,821.4100000000001
1899,88.17,17.5,22.08,142.33,77.42,50.17,56.83,41.42,106.08,49.08,12.42,69.08,732.5800000000002
1900,118.67,80.58,58.42,52.33,80.25,60.92,105.92,78.83,40.0,45.0,49.42,67.17,837.51
1901,35.33,25.67,68.42,141.92,17.83,146.83,94.17,97.33,93.17,39.5,25.83,49.17,835.17
1902,31.0,53.0,68.42,42.58,114.58,65.83,86.83,120.58,65.42,88.67,15.33,71.92,824.1599999999999
1903,34.17,28.33,35.25,57.25,48.92,89.0,137.42,114.17,45.67,75.92,80.5,20.33,766.93
1904,31.58,94.08,41.5,66.33,139.5,84.42,32.25,72.17,96.5,31.33,39.08,32.17,760.9100000000001
1905,36.67,20.83,81.67,94.58,79.0,75.83,77.17,164.08,113.08,102.17,57.42,41.17,943.67
1906,47.75,47.83,56.92,41.83,144.58,108.58,121.67,58.0,24.92,21.58,34.5,69.75,777.91
1907,64.33,38.0,59.92,67.42,48.0,82.58,93.5,69.5,59.25,38.17,15.33,90.33,726.33
1908,25.5,69.67,35.42,73.08,104.75,70.25,142.67,76.5,112.42,6.83,45.58,34.83,797.5000000000001
1909,27.58,18.5,39.67,48.17,38.0,176.25,146.75,74.92,59.17,69.08,43.92,92.42,834.43
1910,126.17,61.5,25.08,77.08,78.75,155.33,130.5,115.42,88.33,24.33,127.58,60.67,1070.74
1911,15.67,40.83,47.5,33.5,75.25,116.83,11.25,43.83,88.0,47.0,52.67,63.17,635.4999999999999
1912,68.58,42.58,68.08,31.08,108.75,122.75,98.75,153.67,53.75,100.42,41.58,37.83,927.8199999999999
1913,56.42,23.42,66.25,59.08,70.0,105.17,109.5,95.17,66.0,27.42,93.08,40.92,812.43
1914,74.25,28.08,127.83,54.0,141.25,102.25,134.58,106.58,71.08,29.33,50.42,44.83,964.4800000000001
1915,68.75,41.42,76.33,68.92,84.5,96.92,120.67,94.5,89.67,27.33,63.0,108.42,940.43
1916,41.58,71.58,62.83,54.92,73.75,148.58,110.25,88.17,65.08,90.42,62.25,77.83,947.24
1917,28.25,9.83,67.92,68.0,60.58,75.0,103.83,154.75,56.75,128.67,60.17,20.0,833.7499999999999
1918,55.58,19.17,31.75,79.08,43.75,112.92,68.42,74.67,127.83,33.75,38.08,112.33,797.3300000000002
1919,19.83,54.25,108.58,88.17,23.92,88.0,98.58,46.75,37.42,36.75,95.5,123.92,821.6699999999998
1920,62.75,13.83,34.83,62.08,96.42,76.0,114.0,62.92,119.25,4.42,2.08,35.42,684.0
