Time,Mittlere Temperatur (K),Standardabweichung,Unsicherheit (K),Mittlere Qualitätsstufe,Nicht-Null-Anzahl
2008-04-07 12:00:00,278.85324,0.3541675,0.3376921837799463,3.7941176470588234,34.0
2008-04-08 12:00:00,274.91873,1.992058,0.3622756369119812,1.375,8.0
2008-04-12 12:00:00,280.2991,1.3896716,0.400558610346441,2.5454545454545454,11.0
2008-04-13 12:00:00,281.2794,0.41590914,0.5054400661412062,4.484848484848484,33.0
2008-04-16 12:00:00,278.755,2.458475,0.3310793068745697,2.6818181818181817,22.0
2008-04-17 12:00:00,279.8792,1.054187,0.34230195023029103,1.7692307692307692,13.0
2008-04-18 12:00:00,281.26764,1.2584994,0.37910726022343727,3.6333333333333333,30.0
2008-04-20 12:00:00,280.9248,1.8119618,0.34944918360667365,2.72,25.0
2008-04-26 12:00:00,279.84,1.9188849,0.33591298483428955,2.238095238095238,21.0
2008-04-27 12:00:00,282.89526,0.74406004,0.3267058552589137,3.323529411764706,34.0
2008-04-28 12:00:00,285.48737,1.4272085,0.3785556369878178,4.619047619047619,42.0
2008-04-29 12:00:00,281.08167,0.86637783,0.3477011572044557,3.25,12.0
2008-04-30 12:00:00,283.54767,1.1829132,0.36706383145473903,4.076923076923077,26.0
2008-05-01 12:00:00,281.48874,1.0289502,0.411904132517851,2.625,8.0
2008-05-02 12:00:00,283.33154,0.9581056,0.4177910091998154,3.40625,32.0
2008-05-03 12:00:00,285.3527,0.9509716,0.4167165970371434,4.536585365853658,41.0
2008-05-04 12:00:00,285.11227,1.6046361,0.3526296077745585,4.171428571428572,35.0
2008-05-05 12:00:00,285.16464,0.7910085,0.2541761077300027,4.195121951219512,41.0
2008-05-06 12:00:00,285.67883,0.93877965,0.32454154575527344,3.764705882352941,34.0
2008-05-07 12:00:00,286.58774,1.4947791,0.3020224860182158,4.425,40.0
2008-05-08 12:00:00,286.9435,1.3376464,0.2523950893897942,4.625,40.0
2008-05-09 12:00:00,287.6355,1.2373637,0.26819504390966387,4.45,40.0
2008-05-10 12:00:00,288.14917,1.5294427,0.2630513378749091,4.243243243243243,37.0
2008-05-11 12:00:00,287.33362,1.2628996,0.3951733270363002,4.194444444444445,36.0
2008-05-12 12:00:00,288.353,0.85749924,0.4685452682238846,4.6,40.0
2008-05-13 12:00:00,289.3492,1.2929829,0.2684068037095857,4.435897435897436,39.0
2008-05-14 12:00:00,289.5919,0.87420946,0.2815174246037044,4.5675675675675675,37.0
2008-05-15 12:00:00,287.02374,1.4576077,0.351487033399817,2.75,8.0
2008-05-16 12:00:00,288.50305,1.1618654,0.45811152670837474,2.8846153846153846,26.0
2008-05-18 12:00:00,283.6722,1.1990422,0.4483010127246268,1.6666666666666667,9.0
2008-05-23 12:00:00,288.75275,0.9205407,0.5172413605702889,4.55,40.0
2008-05-27 12:00:00,290.09497,0.05500794,0.2305005474865012,4.0,2.0
2008-05-31 12:00:00,289.66666,2.368551,0.8786063210194252,3.8333333333333335,6.0
2008-06-01 12:00:00,291.49188,0.8853426,0.4579203165492945,4.625,16.0
2008-06-02 12:00:00,291.4552,1.0638574,0.33916793819990243,4.04,25.0
2008-06-08 12:00:00,288.45248,0.5120733,0.5740825479330374,2.75,4.0
2008-06-09 12:00:00,290.27625,0.6235546,0.9073082503826089,4.125,16.0
2008-06-10 12:00:00,291.93973,1.0746322,0.6252819492056507,3.8055555555555554,36.0
2008-06-12 12:00:00,290.36694,0.81067926,0.6277377825446528,3.0,23.0
2008-06-14 12:00:00,289.50375,1.1863254,0.7301976276861198,2.875,8.0
2008-06-18 12:00:00,291.55475,0.88915116,0.8017778348455593,2.789473684210526,19.0
2008-06-19 12:00:00,291.10867,0.9431476,0.5110751815728554,3.9473684210526314,38.0
2008-06-20 12:00:00,292.22446,0.92193305,0.4652031987588091,3.0,9.0
2008-06-21 12:00:00,294.26047,0.83531356,0.42314664915069705,4.476190476190476,42.0
2008-06-22 12:00:00,295.62424,0.8717001,0.37294612578336506,4.075,40.0
2008-06-23 12:00:00,297.24915,0.8060893,0.6322777240558688,2.342857142857143,35.0
2008-06-24 12:00:00,293.19,0.0,0.593000054359436,3.0,1.0
2008-06-27 12:00:00,293.88068,1.9625174,0.6443280864647899,3.5714285714285716,14.0
2008-06-28 12:00:00,294.77594,0.81482345,0.7661825002641095,2.46875,32.0
2008-06-29 12:00:00,296.4697,0.895224,0.6388027447441974,2.764705882352941,34.0
2008-06-30 12:00:00,295.97116,0.45334885,0.4918944421105666,2.8823529411764706,17.0
2008-07-01 12:00:00,297.183,0.76157755,0.43891530581085764,4.209302325581396,43.0
2008-07-02 12:00:00,296.63757,0.7407613,0.4942032489267248,3.8292682926829267,41.0
2008-07-03 12:00:00,294.37668,1.2850099,0.8504809784282438,1.8333333333333333,6.0
2008-07-04 12:00:00,294.00998,1.8412789,0.725990286891127,2.607142857142857,28.0
2008-07-05 12:00:00,294.40778,0.766609,0.6928119083868705,3.5925925925925926,27.0
2008-07-08 12:00:00,292.105,0.45944023,0.4870828413542607,3.5,6.0
2008-07-10 12:00:00,294.01306,1.6567677,0.6233703233996006,4.428571428571429,42.0
2008-07-11 12:00:00,295.005,1.0403768,0.5205469717196571,4.475,40.0
2008-07-15 12:00:00,293.5362,0.8932047,0.6297699638843481,4.5,42.0
2008-07-16 12:00:00,293.91794,0.4506826,0.6653974456826169,4.589743589743589,39.0
2008-07-19 12:00:00,293.8256,0.33403912,0.711280060489697,4.4,25.0
2008-07-21 12:00:00,292.22916,0.3192171,0.49750894589082784,4.041666666666667,24.0
2008-07-22 12:00:00,291.85623,0.74719614,0.819606897954315,1.75,8.0
2008-07-23 12:00:00,292.26105,0.9403748,0.6056454756231704,2.3793103448275863,29.0
2008-07-24 12:00:00,292.23572,1.1038003,0.5562087902787061,4.0476190476190474,42.0
2008-07-25 12:00:00,293.35025,0.53276074,0.4372296637538609,4.428571428571429,42.0
2008-07-26 12:00:00,285.88998,0.0,0.5560000538825989,1.0,1.0
2008-07-27 12:00:00,293.85748,0.43780166,0.6387070036036415,3.35,20.0
2008-07-28 12:00:00,296.19083,0.78244203,0.7467154383949169,3.027027027027027,37.0
2008-07-30 12:00:00,295.30023,0.9792083,0.47641915771723237,3.2142857142857144,42.0
2008-07-31 12:00:00,296.37524,0.64451253,0.5372522477058574,2.75,40.0
2008-08-02 12:00:00,295.29517,0.5106509,0.6312242339206426,2.5172413793103448,29.0
2008-08-03 12:00:00,295.3891,0.60978127,0.4552620851390615,2.9545454545454546,22.0
2008-08-06 12:00:00,294.88998,0.6756796,0.6424714772742417,4.538461538461538,39.0
2008-08-07 12:00:00,295.1385,1.3969529,0.5039056217039708,3.95,20.0
2008-08-08 12:00:00,294.07928,1.2861125,0.5317242691610994,2.7857142857142856,28.0
2008-08-09 12:00:00,293.88248,0.40301058,0.5786080539491848,2.75,8.0
2008-08-10 12:00:00,289.6,0.2962986,0.6350918872061825,1.0,3.0
2008-08-11 12:00:00,294.6783,0.941507,0.8489089478247489,1.9166666666666667,12.0
2008-08-13 12:00:00,293.34348,0.78716403,0.5813215693488827,3.130434782608696,23.0
2008-08-14 12:00:00,293.76102,1.1068898,0.5643257345453204,2.8,10.0
2008-08-16 12:00:00,293.02133,0.7798058,0.6958668032954946,3.2333333333333334,30.0
2008-08-17 12:00:00,291.5788,1.1218847,0.4882361968848231,2.44,25.0
2008-08-18 12:00:00,293.73886,0.6207586,0.6370583748620015,4.4,45.0
2008-08-19 12:00:00,294.08072,1.8152428,0.9265412379577445,1.4285714285714286,14.0
2008-08-21 12:00:00,292.51193,0.84479344,0.5914646407723626,2.6538461538461537,26.0
2008-08-24 12:00:00,292.30084,0.6299632,0.5531744210507564,4.428571428571429,35.0
2008-08-25 12:00:00,292.84665,0.12471865,0.9054434040886753,4.0,3.0
2008-08-27 12:00:00,293.8073,0.49831522,0.6866978786150647,4.533333333333333,45.0
2008-08-28 12:00:00,291.76205,2.0835958,0.4577628720486732,2.4482758620689653,29.0
2008-08-30 12:00:00,294.2279,0.57009447,0.6179996919119725,4.552631578947368,38.0
2008-08-31 12:00:00,294.02936,0.9470353,0.6766393857418485,1.75,16.0
2008-09-01 12:00:00,293.58664,0.5751722,0.5769269424220206,3.0,3.0
2008-09-02 12:00:00,293.74023,0.5105258,0.42634955639505245,4.375,40.0
2008-09-03 12:00:00,294.14813,0.9385918,0.4999353983544115,2.945945945945946,37.0
2008-09-05 12:00:00,292.81427,0.4560498,0.7923521041087116,3.1904761904761907,21.0
2008-09-06 12:00:00,293.56665,0.52354133,0.49134416335087056,2.9696969696969697,33.0
2008-09-08 12:00:00,292.54678,0.43444338,0.7175980561246398,4.054054054054054,37.0
2008-09-09 12:00:00,292.87415,0.41282967,0.4818128030619361,4.138888888888889,36.0
2008-09-11 12:00:00,292.45618,0.2005101,0.3459740014520903,4.0,21.0
2008-09-12 12:00:00,291.1175,0.5762095,0.8937865055649018,3.75,4.0
