time,lat,lon,prAdjust
1950-01-01,48.0,12.0,48.56742
1950-01-01,48.0,12.25,56.21527
1950-01-01,48.0,12.5,62.305973
1950-01-01,48.0,12.75,70.47965
1950-01-01,48.0,13.0,72.41065
1950-01-01,48.0,13.25,68.72187
1950-01-01,48.0,13.5,74.756615
1950-01-01,48.0,13.75,75.59036
1950-01-01,48.0,14.0,66.23776
1950-01-01,48.0,14.25,57.74893
1950-01-01,48.0,14.5,55.782253
1950-01-01,48.0,14.75,58.923378
1950-01-01,48.0,15.0,60.70903
1950-01-01,48.25,5.75,50.14692
1950-01-01,48.25,6.0,44.9429
1950-01-01,48.25,6.25,45.866943
1950-01-01,48.25,6.5,51.29756
1950-01-01,48.25,6.75,77.93209
1950-01-01,48.25,7.0,87.09943
1950-01-01,48.25,7.25,63.216576
1950-01-01,48.25,7.5,45.322636
1950-01-01,48.25,7.75,45.651814
1950-01-01,48.25,8.0,54.50827
1950-01-01,48.25,8.25,70.27936
1950-01-01,48.25,8.5,67.48183
1950-01-01,48.25,8.75,53.660206
1950-01-01,48.25,9.0,48.366543
1950-01-01,48.25,9.25,49.11123
1950-01-01,48.25,9.5,51.3935
1950-01-01,48.25,9.75,52.40264
1950-01-01,48.25,10.0,53.754868
1950-01-01,48.25,10.25,70.36033
1950-01-01,48.25,10.5,73.60391
1950-01-01,48.25,10.75,62.333725
1950-01-01,48.25,11.0,48.12612
1950-01-01,48.25,11.25,46.05216
1950-01-01,48.25,11.5,44.706924
1950-01-01,48.25,11.75,46.229023
1950-01-01,48.25,12.0,49.38146
1950-01-01,48.25,12.25,52.791534
1950-01-01,48.25,12.5,50.82
1950-01-01,48.25,12.75,51.7074
1950-01-01,48.25,13.0,53.84211
1950-01-01,48.25,13.25,59.849003
1950-01-01,48.25,13.5,60.165436
1950-01-01,48.25,13.75,59.71626
1950-01-01,48.25,14.0,52.651337
1950-01-01,48.25,14.25,66.9991
1950-01-01,48.25,14.5,61.618748
1950-01-01,48.25,14.75,51.3032
1950-01-01,48.25,15.0,48.718998
1950-01-01,48.5,5.75,54.727104
1950-01-01,48.5,6.0,50.869392
1950-01-01,48.5,6.25,44.11029
1950-01-01,48.5,6.5,43.188675
1950-01-01,48.5,6.75,77.85836
1950-01-01,48.5,7.0,63.27874
1950-01-01,48.5,7.25,76.43564
