time,lat,lon,realization,data
1940-01-01,48.0,13.25,0,101.88556
1940-01-01,48.0,13.5,0,92.99588
1940-01-01,48.0,13.75,0,48.918247
1940-01-01,48.0,14.0,0,118.52001
1940-01-01,48.0,14.25,0,148.73576
1940-01-01,48.0,14.5,0,156.04805
1940-01-01,48.0,14.75,0,193.6648
1940-01-01,48.0,15.0,0,229.8472
1940-01-01,48.25,5.75,0,168.77652
1940-01-01,48.25,6.0,0,135.48112
1940-01-01,48.25,6.25,0,136.29604
1940-01-01,48.25,6.5,0,144.81544
1940-01-01,48.25,6.75,0,221.2436
1940-01-01,48.25,7.0,0,204.90146
1940-01-01,48.25,7.25,0,108.3498
1940-01-01,48.25,7.5,0,130.4245
1940-01-01,48.25,7.75,0,134.30786
1940-01-01,48.25,8.0,0,219.01608
1940-01-01,48.25,8.25,0,219.71321
1940-01-01,48.25,8.5,0,217.2191
1940-01-01,48.25,8.75,0,196.08998
1940-01-01,48.25,9.0,0,213.75275
1940-01-01,48.25,9.25,0,245.06187
1940-01-01,48.25,9.5,0,236.71318
1940-01-01,48.25,9.75,0,195.8909
1940-01-01,48.25,10.0,0,171.34523
1940-01-01,48.25,10.25,0,175.61365
1940-01-01,48.25,10.5,0,215.85417
1940-01-01,48.25,10.75,0,202.43787
1940-01-01,48.25,11.0,0,163.22708
1940-01-01,48.25,11.25,0,105.468994
1940-01-01,48.25,11.5,0,105.28064
1940-01-01,48.25,11.75,0,113.83009
1940-01-01,48.25,12.0,0,117.225174
1940-01-01,48.25,12.25,0,108.755104
1940-01-01,48.25,12.5,0,99.15852
1940-01-01,48.25,12.75,0,93.24026
1940-01-01,48.25,13.0,0,96.17734
1940-01-01,48.25,13.25,0,134.73273
1940-01-01,48.25,13.5,0,88.951584
1940-01-01,48.25,13.75,0,81.71868
1940-01-01,48.25,14.0,0,95.20006
1940-01-01,48.25,14.25,0,81.782814
1940-01-01,48.25,14.5,0,135.9818
1940-01-01,48.25,14.75,0,125.6032
1940-01-01,48.25,15.0,0,164.1686
1940-01-01,48.5,5.75,0,152.6351
1940-01-01,48.5,6.0,0,185.5221
1940-01-01,48.5,6.25,0,130.52725
1940-01-01,48.5,6.5,0,149.43051
1940-01-01,48.5,6.75,0,162.70732
1940-01-01,48.5,7.0,0,166.6441
1940-01-01,48.5,7.25,0,192.97052
