time,lat,lon,realization,magnitude_of_meteorological_droughts (dmd)
1940-01-01,48.0,11.75,0,4.812097386890548
1940-01-01,48.0,12.0,0,5.175963805695932
1940-01-01,48.0,12.25,0,5.4044304152140565
1940-01-01,48.0,12.5,0,5.552990558885519
1940-01-01,48.0,12.75,0,5.478876460784356
1940-01-01,48.0,13.0,0,5.599760596591769
1940-01-01,48.0,13.25,0,6.036808457023888
1940-01-01,48.0,13.5,0,5.667930986867119
1940-01-01,48.0,13.75,0,5.30496031371663
1940-01-01,48.0,14.0,0,3.198577369021702
1940-01-01,48.0,14.25,0,2.8306419582318982
1940-01-01,48.0,14.5,0,0.0
1940-01-01,48.0,14.75,0,1.0341348835540125
1940-01-01,48.0,15.0,0,0.0
1940-01-01,48.25,5.75,0,0.0
1940-01-01,48.25,6.0,0,0.0
1940-01-01,48.25,6.25,0,0.0
1940-01-01,48.25,6.5,0,0.0
1940-01-01,48.25,6.75,0,0.0
1940-01-01,48.25,7.0,0,0.0
1940-01-01,48.25,7.25,0,5.473115340749161
1940-01-01,48.25,7.5,0,0.0
1940-01-01,48.25,7.75,0,0.0
1940-01-01,48.25,8.0,0,0.0
1940-01-01,48.25,8.25,0,0.0
1940-01-01,48.25,8.5,0,0.0
1940-01-01,48.25,8.75,0,0.0
1940-01-01,48.25,9.0,0,0.0
1940-01-01,48.25,9.25,0,0.0
1940-01-01,48.25,9.5,0,0.0
1940-01-01,48.25,9.75,0,0.0
1940-01-01,48.25,10.0,0,0.0
1940-01-01,48.25,10.25,0,0.0
1940-01-01,48.25,10.5,0,0.0
1940-01-01,48.25,10.75,0,0.0
1940-01-01,48.25,11.0,0,0.0
1940-01-01,48.25,11.25,0,4.257299442611245
1940-01-01,48.25,11.5,0,4.781203351839313
1940-01-01,48.25,11.75,0,5.216794931489664
1940-01-01,48.25,12.0,0,5.651389458555063
1940-01-01,48.25,12.25,0,5.603997791324744
1940-01-01,48.25,12.5,0,3.902051289628959
1940-01-01,48.25,12.75,0,3.987211048538584
1940-01-01,48.25,13.0,0,3.9566960231245636
1940-01-01,48.25,13.25,0,3.8324261007258613
1940-01-01,48.25,13.5,0,3.852441454948141
1940-01-01,48.25,13.75,0,3.464028162786819
1940-01-01,48.25,14.0,0,0.0
1940-01-01,48.25,14.25,0,0.0
1940-01-01,48.25,14.5,0,0.0
1940-01-01,48.25,14.75,0,0.0
1940-01-01,48.25,15.0,0,1.0885411066984803
1940-01-01,48.5,5.75,0,0.0
1940-01-01,48.5,6.0,0,0.0
1940-01-01,48.5,6.25,0,0.0
1940-01-01,48.5,6.5,0,0.0
1940-01-01,48.5,6.75,0,0.0
1940-01-01,48.5,7.0,0,0.0
1940-01-01,48.5,7.25,0,0.0
1940-01-01,48.5,7.5,0,0.0
1940-01-01,48.5,7.75,0,0.0
1940-01-01,48.5,8.0,0,0.0
1940-01-01,48.5,8.25,0,0.0
1940-01-01,48.5,8.5,0,0.0
1940-01-01,48.5,8.75,0,0.0
1940-01-01,48.5,9.0,0,0.0
1940-01-01,48.5,9.25,0,0.0
1940-01-01,48.5,9.5,0,0.0
1940-01-01,48.5,9.75,0,0.0
1940-01-01,48.5,10.0,0,0.0
1940-01-01,48.5,10.25,0,0.0
1940-01-01,48.5,10.5,0,0.0
1940-01-01,48.5,10.75,0,0.0
1940-01-01,48.5,11.0,0,0.0
1940-01-01,48.5,11.25,0,0.0
1940-01-01,48.5,11.5,0,3.865289858704262
1940-01-01,48.5,11.75,0,4.3320431097117815
1940-01-01,48.5,12.0,0,4.739705877680471
1940-01-01,48.5,12.25,0,4.897443690427611
1940-01-01,48.5,12.5,0,4.918922890194535
1940-01-01,48.5,12.75,0,4.683997943235447
1940-01-01,48.5,13.0,0,4.30722078335025
1940-01-01,48.5,13.25,0,0.0
1940-01-01,48.5,13.5,0,0.0
1940-01-01,48.5,13.75,0,0.0
1940-01-01,48.5,14.0,0,0.0
1940-01-01,48.5,14.25,0,1.0560880655726137
1940-01-01,48.5,14.5,0,1.1430213430170126
1940-01-01,48.5,14.75,0,1.1950388824916567
1940-01-01,48.5,15.0,0,1.2959331038410689
1940-01-01,48.75,5.75,0,0.0
1940-01-01,48.75,6.0,0,0.0
1940-01-01,48.75,6.25,0,0.0
1940-01-01,48.75,6.5,0,0.0
1940-01-01,48.75,6.75,0,0.0
1940-01-01,48.75,7.0,0,0.0
1940-01-01,48.75,7.25,0,0.0
1940-01-01,48.75,7.5,0,0.0
1940-01-01,48.75,7.75,0,0.0
1940-01-01,48.75,8.0,0,0.0
1940-01-01,48.75,8.25,0,0.0
1940-01-01,48.75,8.5,0,0.0
1940-01-01,48.75,8.75,0,0.0
1940-01-01,48.75,9.0,0,0.0
1940-01-01,48.75,9.25,0,0.0
1940-01-01,48.75,9.5,0,0.0
1940-01-01,48.75,9.75,0,0.0
1940-01-01,48.75,10.0,0,0.0
1940-01-01,48.75,10.25,0,0.0
1940-01-01,48.75,10.5,0,0.0
1940-01-01,48.75,10.75,0,0.0
1940-01-01,48.75,11.0,0,0.0
1940-01-01,48.75,11.25,0,0.0
1940-01-01,48.75,11.5,0,0.0
1940-01-01,48.75,11.75,0,4.101902857632974
1940-01-01,48.75,12.0,0,4.395723718452496
1940-01-01,48.75,12.25,0,3.906542292645766
1940-01-01,48.75,12.5,0,0.0
1940-01-01,48.75,12.75,0,0.0
1940-01-01,48.75,13.0,0,0.0
1940-01-01,48.75,13.25,0,0.0
1940-01-01,48.75,13.5,0,0.0
1940-01-01,48.75,13.75,0,0.0
1940-01-01,48.75,14.0,0,1.675355588542921
1940-01-01,48.75,14.25,0,4.507935534863058
