time,lat,lon,realization,total_precipitation (tp)
1940-01-01,48.0,12.25,0,940.28925
1940-01-01,48.0,12.5,0,975.86584
1940-01-01,48.0,12.75,0,1060.5721
1940-01-01,48.0,13.0,0,1095.5829
1940-01-01,48.0,13.25,0,1087.0646
1940-01-01,48.0,13.5,0,1053.6172
1940-01-01,48.0,13.75,0,997.09503
1940-01-01,48.0,14.0,0,1044.7341
1940-01-01,48.0,14.25,0,1042.4354
1940-01-01,48.0,14.5,0,1048.7188
1940-01-01,48.0,14.75,0,1035.3027
1940-01-01,48.0,15.0,0,1103.7972
1940-01-01,48.25,5.75,0,920.41376
1940-01-01,48.25,6.0,0,914.3085
1940-01-01,48.25,6.25,0,901.67957
1940-01-01,48.25,6.5,0,941.57495
1940-01-01,48.25,6.75,0,1028.4412
1940-01-01,48.25,7.0,0,1064.9436
1940-01-01,48.25,7.25,0,975.4116
1940-01-01,48.25,7.5,0,801.5635
1940-01-01,48.25,7.75,0,787.66534
1940-01-01,48.25,8.0,0,1007.1362
1940-01-01,48.25,8.25,0,1124.7859
1940-01-01,48.25,8.5,0,1140.4014
1940-01-01,48.25,8.75,0,954.86
1940-01-01,48.25,9.0,0,968.28296
1940-01-01,48.25,9.25,0,1014.4966
1940-01-01,48.25,9.5,0,973.67334
1940-01-01,48.25,9.75,0,905.73474
1940-01-01,48.25,10.0,0,822.4855
1940-01-01,48.25,10.25,0,849.66895
1940-01-01,48.25,10.5,0,900.6538
1940-01-01,48.25,10.75,0,936.1594
1940-01-01,48.25,11.0,0,914.54895
1940-01-01,48.25,11.25,0,864.39404
1940-01-01,48.25,11.5,0,845.1317
1940-01-01,48.25,11.75,0,851.21796
1940-01-01,48.25,12.0,0,864.3653
1940-01-01,48.25,12.25,0,868.2666
1940-01-01,48.25,12.5,0,869.11096
1940-01-01,48.25,12.75,0,890.0852
1940-01-01,48.25,13.0,0,946.93945
1940-01-01,48.25,13.25,0,967.69165
1940-01-01,48.25,13.5,0,925.79675
1940-01-01,48.25,13.75,0,852.4776
1940-01-01,48.25,14.0,0,786.5667
1940-01-01,48.25,14.25,0,782.0215
1940-01-01,48.25,14.5,0,785.93634
1940-01-01,48.25,14.75,0,831.12024
1940-01-01,48.25,15.0,0,837.0085
1940-01-01,48.5,5.75,0,883.2163
1940-01-01,48.5,6.0,0,895.94696
1940-01-01,48.5,6.25,0,835.75446
1940-01-01,48.5,6.5,0,828.8655
1940-01-01,48.5,6.75,0,908.3319
1940-01-01,48.5,7.0,0,1068.882
1940-01-01,48.5,7.25,0,1172.4636
1940-01-01,48.5,7.5,0,907.5895
1940-01-01,48.5,7.75,0,837.16064
1940-01-01,48.5,8.0,0,891.24585
1940-01-01,48.5,8.25,0,1155.5018
1940-01-01,48.5,8.5,0,1206.3838
1940-01-01,48.5,8.75,0,940.21796
1940-01-01,48.5,9.0,0,871.11804
1940-01-01,48.5,9.25,0,877.3795
1940-01-01,48.5,9.5,0,975.744
1940-01-01,48.5,9.75,0,968.3325
1940-01-01,48.5,10.0,0,867.3263
1940-01-01,48.5,10.25,0,820.9862
1940-01-01,48.5,10.5,0,786.6084
1940-01-01,48.5,10.75,0,791.11426
