time,lat,lon,realization,extreme_wind_speed_days (data)
1940-01-01,48.75,6.25,0,10
1940-01-01,48.75,6.5,0,7
1940-01-01,48.75,6.75,0,7
1940-01-01,48.75,7.0,0,7
1940-01-01,48.75,7.25,0,8
1940-01-01,48.75,7.5,0,8
1940-01-01,48.75,7.75,0,9
1940-01-01,48.75,8.0,0,9
1940-01-01,48.75,8.25,0,9
1940-01-01,48.75,8.5,0,9
1940-01-01,48.75,8.75,0,8
1940-01-01,48.75,9.0,0,8
1940-01-01,48.75,9.25,0,9
1940-01-01,48.75,9.5,0,8
1940-01-01,48.75,9.75,0,9
1940-01-01,48.75,10.0,0,9
1940-01-01,48.75,10.25,0,9
1940-01-01,48.75,10.5,0,10
1940-01-01,48.75,10.75,0,7
1940-01-01,48.75,11.0,0,7
1940-01-01,48.75,11.25,0,7
1940-01-01,48.75,11.5,0,9
1940-01-01,48.75,11.75,0,8
1940-01-01,48.75,12.0,0,7
1940-01-01,48.75,12.25,0,7
1940-01-01,48.75,12.5,0,7
1940-01-01,48.75,12.75,0,8
1940-01-01,48.75,13.0,0,8
1940-01-01,48.75,13.25,0,8
1940-01-01,48.75,13.5,0,8
1940-01-01,48.75,13.75,0,8
1940-01-01,48.75,14.0,0,8
1940-01-01,48.75,14.25,0,8
1940-01-01,48.75,14.5,0,7
1940-01-01,48.75,14.75,0,6
1940-01-01,48.75,15.0,0,5
1940-01-01,49.0,5.75,0,9
1940-01-01,49.0,6.0,0,7
1940-01-01,49.0,6.25,0,8
1940-01-01,49.0,6.5,0,8
1940-01-01,49.0,6.75,0,8
1940-01-01,49.0,7.0,0,8
1940-01-01,49.0,7.25,0,8
1940-01-01,49.0,7.5,0,7
1940-01-01,49.0,7.75,0,7
1940-01-01,49.0,8.0,0,8
1940-01-01,49.0,8.25,0,9
1940-01-01,49.0,8.5,0,9
1940-01-01,49.0,8.75,0,10
1940-01-01,49.0,9.0,0,9
1940-01-01,49.0,9.25,0,8
1940-01-01,49.0,9.5,0,7
1940-01-01,49.0,9.75,0,8
1940-01-01,49.0,10.0,0,9
1940-01-01,49.0,10.25,0,8
1940-01-01,49.0,10.5,0,8
1940-01-01,49.0,10.75,0,8
