time,lat,lon,fire_weather_index (fwi)
1979-01-01,48.0,10.5,1.520336
1979-01-01,48.0,10.75,1.5533862
1979-01-01,48.0,11.0,1.6365497
1979-01-01,48.0,11.25,1.6919861
1979-01-01,48.0,11.5,1.7327324
1979-01-01,48.0,11.75,1.781877
1979-01-01,48.0,12.0,1.9170614
1979-01-01,48.0,12.25,2.0315664
1979-01-01,48.0,12.5,2.0236769
1979-01-01,48.0,12.75,1.9310951
1979-01-01,48.0,13.0,1.8633537
1979-01-01,48.0,13.25,1.9137715
1979-01-01,48.0,13.5,2.0149062
1979-01-01,48.0,13.75,2.1301777
1979-01-01,48.0,14.0,2.2460384
1979-01-01,48.0,14.25,2.3693273
1979-01-01,48.0,14.5,2.4719257
1979-01-01,48.0,14.75,2.512868
1979-01-01,48.0,15.0,2.4135964
1979-01-01,48.25,5.75,3.4954274
1979-01-01,48.25,6.0,3.3858345
1979-01-01,48.25,6.25,3.2793572
1979-01-01,48.25,6.5,3.0643084
1979-01-01,48.25,6.75,2.6620393
1979-01-01,48.25,7.0,2.3753684
1979-01-01,48.25,7.25,2.9143434
1979-01-01,48.25,7.5,3.2405477
1979-01-01,48.25,7.75,3.4275854
1979-01-01,48.25,8.0,2.6702478
1979-01-01,48.25,8.25,2.1695304
1979-01-01,48.25,8.5,1.8456084
1979-01-01,48.25,8.75,1.8183705
1979-01-01,48.25,9.0,1.8773916
1979-01-01,48.25,9.25,1.7985995
1979-01-01,48.25,9.5,1.8411
1979-01-01,48.25,9.75,1.9973096
1979-01-01,48.25,10.0,2.1597352
1979-01-01,48.25,10.25,2.1595836
1979-01-01,48.25,10.5,2.129322
1979-01-01,48.25,10.75,2.151588
1979-01-01,48.25,11.0,2.265843
1979-01-01,48.25,11.25,2.3933134
1979-01-01,48.25,11.5,2.5460935
1979-01-01,48.25,11.75,2.7436578
1979-01-01,48.25,12.0,3.042104
1979-01-01,48.25,12.25,3.2880092
1979-01-01,48.25,12.5,3.4690704
1979-01-01,48.25,12.75,3.4923215
1979-01-01,48.25,13.0,3.488891
1979-01-01,48.25,13.25,3.5753164
1979-01-01,48.25,13.5,3.779078
1979-01-01,48.25,13.75,4.1449623
1979-01-01,48.25,14.0,4.508686
1979-01-01,48.25,14.25,4.766313
1979-01-01,48.25,14.5,4.90047
1979-01-01,48.25,14.75,4.9000607
1979-01-01,48.25,15.0,4.823051
1979-01-01,48.5,5.75,3.4089742
1979-01-01,48.5,6.0,3.4109278
1979-01-01,48.5,6.25,3.5190258
1979-01-01,48.5,6.5,3.7393715
1979-01-01,48.5,6.75,3.4603574
1979-01-01,48.5,7.0,2.8199549
1979-01-01,48.5,7.25,2.3682144
1979-01-01,48.5,7.5,2.7062507
1979-01-01,48.5,7.75,3.3200057
1979-01-01,48.5,8.0,3.587192
1979-01-01,48.5,8.25,2.9641728
