time,lat,lon,realization,maximum_five_days_precipitation (tp)
1940-01-01,48.0,13.25,0,84.87893
1940-01-01,48.0,13.5,0,78.481674
1940-01-01,48.0,13.75,0,71.3644
1940-01-01,48.0,14.0,0,70.29986
1940-01-01,48.0,14.25,0,78.75037
1940-01-01,48.0,14.5,0,83.58312
1940-01-01,48.0,14.75,0,84.226135
1940-01-01,48.0,15.0,0,87.02969
1940-01-01,48.25,5.75,0,66.73383
1940-01-01,48.25,6.0,0,62.735085
1940-01-01,48.25,6.25,0,59.733383
1940-01-01,48.25,6.5,0,59.599876
1940-01-01,48.25,6.75,0,71.332695
1940-01-01,48.25,7.0,0,68.22729
1940-01-01,48.25,7.25,0,55.24921
1940-01-01,48.25,7.5,0,46.145916
1940-01-01,48.25,7.75,0,49.078465
1940-01-01,48.25,8.0,0,70.41692
1940-01-01,48.25,8.25,0,70.05597
1940-01-01,48.25,8.5,0,67.770004
1940-01-01,48.25,8.75,0,56.6411
1940-01-01,48.25,9.0,0,60.3087
1940-01-01,48.25,9.25,0,65.96231
1940-01-01,48.25,9.5,0,64.94331
1940-01-01,48.25,9.75,0,59.474472
1940-01-01,48.25,10.0,0,57.538986
1940-01-01,48.25,10.25,0,65.236565
1940-01-01,48.25,10.5,0,71.5797
1940-01-01,48.25,10.75,0,73.38548
1940-01-01,48.25,11.0,0,77.42095
1940-01-01,48.25,11.25,0,81.48599
1940-01-01,48.25,11.5,0,87.610245
1940-01-01,48.25,11.75,0,93.5483
1940-01-01,48.25,12.0,0,95.831635
1940-01-01,48.25,12.25,0,92.28516
1940-01-01,48.25,12.5,0,86.62843
1940-01-01,48.25,12.75,0,80.405716
1940-01-01,48.25,13.0,0,80.899
1940-01-01,48.25,13.25,0,80.27124
1940-01-01,48.25,13.5,0,73.47966
1940-01-01,48.25,13.75,0,65.56511
1940-01-01,48.25,14.0,0,60.340637
1940-01-01,48.25,14.25,0,61.834335
1940-01-01,48.25,14.5,0,63.52353
1940-01-01,48.25,14.75,0,63.593857
1940-01-01,48.25,15.0,0,70.71733
1940-01-01,48.5,5.75,0,63.06195
1940-01-01,48.5,6.0,0,58.0256
1940-01-01,48.5,6.25,0,54.71563
1940-01-01,48.5,6.5,0,51.862488
1940-01-01,48.5,6.75,0,60.945747
1940-01-01,48.5,7.0,0,68.60899
1940-01-01,48.5,7.25,0,73.58908
1940-01-01,48.5,7.5,0,55.022957
1940-01-01,48.5,7.75,0,52.51956
1940-01-01,48.5,8.0,0,62.17909
1940-01-01,48.5,8.25,0,76.78175
1940-01-01,48.5,8.5,0,78.26042
1940-01-01,48.5,8.75,0,60.188293
1940-01-01,48.5,9.0,0,53.56264
1940-01-01,48.5,9.25,0,53.130627
1940-01-01,48.5,9.5,0,54.153454
1940-01-01,48.5,9.75,0,55.287598
1940-01-01,48.5,10.0,0,58.25257
1940-01-01,48.5,10.25,0,61.816925
1940-01-01,48.5,10.5,0,65.661194
1940-01-01,48.5,10.75,0,68.80879
1940-01-01,48.5,11.0,0,75.18864
1940-01-01,48.5,11.25,0,80.63364
1940-01-01,48.5,11.5,0,84.45096
1940-01-01,48.5,11.75,0,92.42701
1940-01-01,48.5,12.0,0,103.811264
1940-01-01,48.5,12.25,0,107.85103
1940-01-01,48.5,12.5,0,103.3144
1940-01-01,48.5,12.75,0,87.303406
1940-01-01,48.5,13.0,0,76.53307
1940-01-01,48.5,13.25,0,70.906395
1940-01-01,48.5,13.5,0,76.50996
1940-01-01,48.5,13.75,0,77.9159
1940-01-01,48.5,14.0,0,77.14844
1940-01-01,48.5,14.25,0,69.13066
1940-01-01,48.5,14.5,0,68.81857
1940-01-01,48.5,14.75,0,83.23622
1940-01-01,48.5,15.0,0,86.77005
1940-01-01,48.75,5.75,0,55.98307
1940-01-01,48.75,6.0,0,53.239113
1940-01-01,48.75,6.25,0,52.496914
1940-01-01,48.75,6.5,0,50.5774
1940-01-01,48.75,6.75,0,47.667023
1940-01-01,48.75,7.0,0,48.26879
1940-01-01,48.75,7.25,0,52.44255
1940-01-01,48.75,7.5,0,53.866386
1940-01-01,48.75,7.75,0,50.503258
1940-01-01,48.75,8.0,0,52.816628
1940-01-01,48.75,8.25,0,66.14351
1940-01-01,48.75,8.5,0,72.46304
1940-01-01,48.75,8.75,0,66.504715
1940-01-01,48.75,9.0,0,54.625034
1940-01-01,48.75,9.25,0,49.587727
1940-01-01,48.75,9.5,0,55.247063
1940-01-01,48.75,9.75,0,55.054195
1940-01-01,48.75,10.0,0,58.007957
1940-01-01,48.75,10.25,0,59.57365
1940-01-01,48.75,10.5,0,63.967945
1940-01-01,48.75,10.75,0,72.75725
1940-01-01,48.75,11.0,0,76.58099
1940-01-01,48.75,11.25,0,78.67241
1940-01-01,48.75,11.5,0,78.50813
1940-01-01,48.75,11.75,0,87.82147
1940-01-01,48.75,12.0,0,103.55019
1940-01-01,48.75,12.25,0,114.01868
1940-01-01,48.75,12.5,0,113.15967
1940-01-01,48.75,12.75,0,96.109146
1940-01-01,48.75,13.0,0,81.67386
1940-01-01,48.75,13.25,0,71.27619
1940-01-01,48.75,13.5,0,71.70534
1940-01-01,48.75,13.75,0,72.71623
1940-01-01,48.75,14.0,0,73.995346
1940-01-01,48.75,14.25,0,76.31993
1940-01-01,48.75,14.5,0,78.96924
1940-01-01,48.75,14.75,0,81.26497
1940-01-01,48.75,15.0,0,79.52261
1940-01-01,49.0,5.75,0,61.21754
1940-01-01,49.0,6.0,0,60.067894
1940-01-01,49.0,6.25,0,61.32603
1940-01-01,49.0,6.5,0,61.913017
1940-01-01,49.0,6.75,0,59.276344
1940-01-01,49.0,7.0,0,51.06259
1940-01-01,49.0,7.25,0,51.610466
1940-01-01,49.0,7.5,0,56.848763
1940-01-01,49.0,7.75,0,47.827244
1940-01-01,49.0,8.0,0,48.23994
1940-01-01,49.0,8.25,0,48.53702
1940-01-01,49.0,8.5,0,49.806602
1940-01-01,49.0,8.75,0,49.846176
1940-01-01,49.0,9.0,0,46.35954
1940-01-01,49.0,9.25,0,45.358894
1940-01-01,49.0,9.5,0,45.235634
1940-01-01,49.0,9.75,0,48.726555
1940-01-01,49.0,10.0,0,49.713844
1940-01-01,49.0,10.25,0,51.0447
1940-01-01,49.0,10.5,0,55.31955
1940-01-01,49.0,10.75,0,63.380478
1940-01-01,49.0,11.0,0,68.56299
1940-01-01,49.0,11.25,0,72.89504
1940-01-01,49.0,11.5,0,73.03929
1940-01-01,49.0,11.75,0,78.76563
1940-01-01,49.0,12.0,0,92.84926
1940-01-01,49.0,12.25,0,101.12024
1940-01-01,49.0,12.5,0,103.76334
1940-01-01,49.0,12.75,0,99.21193
1940-01-01,49.0,13.0,0,94.45834
1940-01-01,49.0,13.25,0,91.90274
1940-01-01,49.0,13.5,0,95.59416
1940-01-01,49.0,13.75,0,103.28937
1940-01-01,49.0,14.0,0,97.08691
1940-01-01,49.0,14.25,0,90.379005
1940-01-01,49.0,14.5,0,74.867485
1940-01-01,49.0,14.75,0,69.103485
1940-01-01,49.0,15.0,0,64.57329
1940-01-01,49.25,5.75,0,62.206512
1940-01-01,49.25,6.0,0,59.017654
1940-01-01,49.25,6.25,0,57.47891
1940-01-01,49.25,6.5,0,65.80495
1940-01-01,49.25,6.75,0,72.099915
1940-01-01,49.25,7.0,0,63.225994
1940-01-01,49.25,7.25,0,60.497047
1940-01-01,49.25,7.5,0,54.417618
1940-01-01,49.25,7.75,0,50.806763
1940-01-01,49.25,8.0,0,49.328568
1940-01-01,49.25,8.25,0,44.183254
1940-01-01,49.25,8.5,0,47.9393
1940-01-01,49.25,8.75,0,65.82999
1940-01-01,49.25,9.0,0,60.732124
1940-01-01,49.25,9.25,0,48.87008
1940-01-01,49.25,9.5,0,46.193596
1940-01-01,49.25,9.75,0,47.64414
1940-01-01,49.25,10.0,0,44.728752
1940-01-01,49.25,10.25,0,44.78097
1940-01-01,49.25,10.5,0,49.36814
1940-01-01,49.25,10.75,0,56.15592
1940-01-01,49.25,11.0,0,62.675953
1940-01-01,49.25,11.25,0,68.27258
1940-01-01,49.25,11.5,0,69.06056
1940-01-01,49.25,11.75,0,69.80371
1940-01-01,49.25,12.0,0,70.919044
1940-01-01,49.25,12.25,0,78.24468
1940-01-01,49.25,12.5,0,82.45993
1940-01-01,49.25,12.75,0,87.1327
