time,lat,lon,realization,cooling_degree_days (data)
1940-01-01,48.0,13.0,0,15.48056
1940-01-01,48.0,13.25,0,14.34655
1940-01-01,48.0,13.5,0,15.115486
1940-01-01,48.0,13.75,0,15.762596
1940-01-01,48.0,14.0,0,16.195702
1940-01-01,48.0,14.25,0,17.378624
1940-01-01,48.0,14.5,0,17.325829
1940-01-01,48.0,14.75,0,16.77562
1940-01-01,48.0,15.0,0,13.181557
1940-01-01,48.25,5.75,0,22.864342
1940-01-01,48.25,6.0,0,24.165802
1940-01-01,48.25,6.25,0,25.529121
1940-01-01,48.25,6.5,0,21.680534
1940-01-01,48.25,6.75,0,14.259102
1940-01-01,48.25,7.0,0,12.243317
1940-01-01,48.25,7.25,0,16.041023
1940-01-01,48.25,7.5,0,34.012825
1940-01-01,48.25,7.75,0,37.012856
1940-01-01,48.25,8.0,0,21.829079
1940-01-01,48.25,8.25,0,10.661713
1940-01-01,48.25,8.5,0,6.492073
1940-01-01,48.25,8.75,0,8.522667
1940-01-01,48.25,9.0,0,8.437218
1940-01-01,48.25,9.25,0,8.073982
1940-01-01,48.25,9.5,0,9.229492
1940-01-01,48.25,9.75,0,12.07531
1940-01-01,48.25,10.0,0,15.721947
1940-01-01,48.25,10.25,0,16.407433
1940-01-01,48.25,10.5,0,16.632225
1940-01-01,48.25,10.75,0,17.908157
1940-01-01,48.25,11.0,0,20.297089
1940-01-01,48.25,11.25,0,23.38813
1940-01-01,48.25,11.5,0,23.200958
1940-01-01,48.25,11.75,0,23.515778
1940-01-01,48.25,12.0,0,25.523094
1940-01-01,48.25,12.25,0,27.225761
1940-01-01,48.25,12.5,0,28.258492
1940-01-01,48.25,12.75,0,27.374817
1940-01-01,48.25,13.0,0,24.832962
1940-01-01,48.25,13.25,0,22.95327
1940-01-01,48.25,13.5,0,21.51535
1940-01-01,48.25,13.75,0,22.750473
1940-01-01,48.25,14.0,0,23.852203
1940-01-01,48.25,14.25,0,23.993233
1940-01-01,48.25,14.5,0,23.801704
1940-01-01,48.25,14.75,0,21.393448
1940-01-01,48.25,15.0,0,20.115295
1940-01-01,48.5,5.75,0,22.008911
1940-01-01,48.5,6.0,0,22.34169
1940-01-01,48.5,6.25,0,28.08303
1940-01-01,48.5,6.5,0,29.570824
1940-01-01,48.5,6.75,0,24.24057
1940-01-01,48.5,7.0,0,17.779182
1940-01-01,48.5,7.25,0,15.806244
1940-01-01,48.5,7.5,0,30.969727
1940-01-01,48.5,7.75,0,37.601746
1940-01-01,48.5,8.0,0,36.49093
1940-01-01,48.5,8.25,0,17.251495
1940-01-01,48.5,8.5,0,10.2938385
1940-01-01,48.5,8.75,0,12.463913
1940-01-01,48.5,9.0,0,14.411026
1940-01-01,48.5,9.25,0,15.0023575
1940-01-01,48.5,9.5,0,11.812675
1940-01-01,48.5,9.75,0,11.496498
1940-01-01,48.5,10.0,0,14.932236
1940-01-01,48.5,10.25,0,17.668861
1940-01-01,48.5,10.5,0,20.724632
1940-01-01,48.5,10.75,0,23.968315
1940-01-01,48.5,11.0,0,24.755875
1940-01-01,48.5,11.25,0,25.747246
1940-01-01,48.5,11.5,0,25.79628
1940-01-01,48.5,11.75,0,25.482224
1940-01-01,48.5,12.0,0,25.013733
1940-01-01,48.5,12.25,0,23.810143
1940-01-01,48.5,12.5,0,24.249634
1940-01-01,48.5,12.75,0,27.053627
1940-01-01,48.5,13.0,0,26.659538
1940-01-01,48.5,13.25,0,26.384102
1940-01-01,48.5,13.5,0,21.633713
1940-01-01,48.5,13.75,0,16.719055
1940-01-01,48.5,14.0,0,13.038582
1940-01-01,48.5,14.25,0,11.125175
1940-01-01,48.5,14.5,0,10.254639
1940-01-01,48.5,14.75,0,7.5749435
1940-01-01,48.5,15.0,0,8.13549
1940-01-01,48.75,5.75,0,26.043694
1940-01-01,48.75,6.0,0,28.120811
1940-01-01,48.75,6.25,0,30.349976
1940-01-01,48.75,6.5,0,30.662575
1940-01-01,48.75,6.75,0,28.881332
1940-01-01,48.75,7.0,0,24.9179
1940-01-01,48.75,7.25,0,23.83522
1940-01-01,48.75,7.5,0,33.43152
1940-01-01,48.75,7.75,0,39.54178
1940-01-01,48.75,8.0,0,42.89473
1940-01-01,48.75,8.25,0,23.77237
1940-01-01,48.75,8.5,0,14.966522
1940-01-01,48.75,8.75,0,15.296242
1940-01-01,48.75,9.0,0,20.50164
1940-01-01,48.75,9.25,0,25.000763
1940-01-01,48.75,9.5,0,18.325706
1940-01-01,48.75,9.75,0,14.456543
1940-01-01,48.75,10.0,0,13.381882
1940-01-01,48.75,10.25,0,16.036636
1940-01-01,48.75,10.5,0,19.003075
1940-01-01,48.75,10.75,0,22.099632
1940-01-01,48.75,11.0,0,24.703384
1940-01-01,48.75,11.25,0,27.361557
1940-01-01,48.75,11.5,0,29.358765
1940-01-01,48.75,11.75,0,30.163002
1940-01-01,48.75,12.0,0,30.888405
1940-01-01,48.75,12.25,0,30.862564
1940-01-01,48.75,12.5,0,30.544655
1940-01-01,48.75,12.75,0,29.05835
1940-01-01,48.75,13.0,0,23.652023
1940-01-01,48.75,13.25,0,18.868095
1940-01-01,48.75,13.5,0,10.303299
1940-01-01,48.75,13.75,0,6.4688034
1940-01-01,48.75,14.0,0,4.9388885
1940-01-01,48.75,14.25,0,7.3196716
1940-01-01,48.75,14.5,0,9.929977
1940-01-01,48.75,14.75,0,12.2734375
1940-01-01,48.75,15.0,0,12.317566
1940-01-01,49.0,5.75,0,25.840462
1940-01-01,49.0,6.0,0,28.399422
1940-01-01,49.0,6.25,0,31.264343
1940-01-01,49.0,6.5,0,30.252808
1940-01-01,49.0,6.75,0,29.20565
1940-01-01,49.0,7.0,0,29.173668
1940-01-01,49.0,7.25,0,27.233917
1940-01-01,49.0,7.5,0,27.637054
1940-01-01,49.0,7.75,0,33.058243
1940-01-01,49.0,8.0,0,37.33741
1940-01-01,49.0,8.25,0,41.860176
1940-01-01,49.0,8.5,0,36.42327
1940-01-01,49.0,8.75,0,34.689423
1940-01-01,49.0,9.0,0,33.723984
1940-01-01,49.0,9.25,0,33.291023
1940-01-01,49.0,9.5,0,26.754112
1940-01-01,49.0,9.75,0,20.04451
1940-01-01,49.0,10.0,0,15.735626
1940-01-01,49.0,10.25,0,16.647972
1940-01-01,49.0,10.5,0,17.886047
1940-01-01,49.0,10.75,0,19.841492
1940-01-01,49.0,11.0,0,21.128372
1940-01-01,49.0,11.25,0,21.805092
1940-01-01,49.0,11.5,0,20.951729
1940-01-01,49.0,11.75,0,20.67746
1940-01-01,49.0,12.0,0,22.563828
1940-01-01,49.0,12.25,0,22.721802
1940-01-01,49.0,12.5,0,22.143723
1940-01-01,49.0,12.75,0,16.129066
1940-01-01,49.0,13.0,0,10.493462
1940-01-01,49.0,13.25,0,4.925743
1940-01-01,49.0,13.5,0,3.5090866
1940-01-01,49.0,13.75,0,4.1087723
1940-01-01,49.0,14.0,0,8.55101
1940-01-01,49.0,14.25,0,14.201981
1940-01-01,49.0,14.5,0,19.143257
1940-01-01,49.0,14.75,0,19.08297
1940-01-01,49.0,15.0,0,16.121513
1940-01-01,49.25,5.75,0,22.796074
1940-01-01,49.25,6.0,0,24.65744
1940-01-01,49.25,6.25,0,27.69941
1940-01-01,49.25,6.5,0,26.332405
1940-01-01,49.25,6.75,0,25.486885
1940-01-01,49.25,7.0,0,25.76529
1940-01-01,49.25,7.25,0,24.046501
1940-01-01,49.25,7.5,0,20.309547
1940-01-01,49.25,7.75,0,21.229202
1940-01-01,49.25,8.0,0,24.65512
1940-01-01,49.25,8.25,0,38.18274
1940-01-01,49.25,8.5,0,42.319252
1940-01-01,49.25,8.75,0,40.859932
1940-01-01,49.25,9.0,0,35.409615
1940-01-01,49.25,9.25,0,29.195107
1940-01-01,49.25,9.5,0,26.902328
1940-01-01,49.25,9.75,0,21.361427
1940-01-01,49.25,10.0,0,19.458641
1940-01-01,49.25,10.25,0,19.072021
1940-01-01,49.25,10.5,0,19.909279
1940-01-01,49.25,10.75,0,23.006393
1940-01-01,49.25,11.0,0,23.611336
1940-01-01,49.25,11.25,0,23.48243
1940-01-01,49.25,11.5,0,20.87815
1940-01-01,49.25,11.75,0,20.30722
1940-01-01,49.25,12.0,0,23.797821
1940-01-01,49.25,12.25,0,23.07122
1940-01-01,49.25,12.5,0,18.923088
1940-01-01,49.25,12.75,0,15.239197
1940-01-01,49.25,13.0,0,9.77726
1940-01-01,49.25,13.25,0,8.196289
1940-01-01,49.25,13.5,0,8.456543
1940-01-01,49.25,13.75,0,9.652344
1940-01-01,49.25,14.0,0,15.239609
1940-01-01,49.25,14.25,0,18.023552
1940-01-01,49.25,14.5,0,16.478714
1940-01-01,49.25,14.75,0,15.603165
1940-01-01,49.25,15.0,0,11.12841
1940-01-01,49.5,5.75,0,16.638962
1940-01-01,49.5,6.0,0,18.267563
1940-01-01,49.5,6.25,0,22.04274
1940-01-01,49.5,6.5,0,18.511536
1940-01-01,49.5,6.75,0,17.714844
1940-01-01,49.5,7.0,0,16.260216
1940-01-01,49.5,7.25,0,17.279526
1940-01-01,49.5,7.5,0,16.301643
1940-01-01,49.5,7.75,0,18.868446
1940-01-01,49.5,8.0,0,24.961884
1940-01-01,49.5,8.25,0,33.822884
1940-01-01,49.5,8.5,0,37.973824
1940-01-01,49.5,8.75,0,32.359306
1940-01-01,49.5,9.0,0,27.447998
1940-01-01,49.5,9.25,0,22.014984
1940-01-01,49.5,9.5,0,24.79747
1940-01-01,49.5,9.75,0,26.004234
1940-01-01,49.5,10.0,0,24.548569
1940-01-01,49.5,10.25,0,23.426231
1940-01-01,49.5,10.5,0,22.446785
1940-01-01,49.5,10.75,0,24.525131
1940-01-01,49.5,11.0,0,24.93586
1940-01-01,49.5,11.25,0,23.813873
1940-01-01,49.5,11.5,0,19.762794
1940-01-01,49.5,11.75,0,18.997787
1940-01-01,49.5,12.0,0,19.659096
1940-01-01,49.5,12.25,0,16.065544
1940-01-01,49.5,12.5,0,12.276009
1940-01-01,49.5,12.75,0,11.269623
1940-01-01,49.5,13.0,0,14.178627
1940-01-01,49.5,13.25,0,16.3965
1940-01-01,49.5,13.5,0,16.206276
1940-01-01,49.5,13.75,0,14.064522
1940-01-01,49.5,14.0,0,14.475204
1940-01-01,49.5,14.25,0,16.978065
1940-01-01,49.5,14.5,0,15.369911
1940-01-01,49.5,14.75,0,13.884827
1940-01-01,49.5,15.0,0,10.457687
1940-01-01,49.75,5.75,0,9.980324
1940-01-01,49.75,6.0,0,12.974777
1940-01-01,49.75,6.25,0,16.518913
1940-01-01,49.75,6.5,0,14.181618
1940-01-01,49.75,6.75,0,13.885048
1940-01-01,49.75,7.0,0,11.500656
1940-01-01,49.75,7.25,0,12.318069
1940-01-01,49.75,7.5,0,14.444611
1940-01-01,49.75,7.75,0,20.908768
1940-01-01,49.75,8.0,0,27.093842
1940-01-01,49.75,8.25,0,33.78353
1940-01-01,49.75,8.5,0,35.76667
1940-01-01,49.75,8.75,0,31.248222
1940-01-01,49.75,9.0,0,25.815247
1940-01-01,49.75,9.25,0,21.360687
1940-01-01,49.75,9.5,0,23.477806
1940-01-01,49.75,9.75,0,24.920944
1940-01-01,49.75,10.0,0,27.22239
1940-01-01,49.75,10.25,0,26.45797
1940-01-01,49.75,10.5,0,25.33989
1940-01-01,49.75,10.75,0,26.598984
1940-01-01,49.75,11.0,0,23.258133
1940-01-01,49.75,11.25,0,21.334099
1940-01-01,49.75,11.5,0,17.320274
1940-01-01,49.75,11.75,0,14.507904
1940-01-01,49.75,12.0,0,13.241959
1940-01-01,49.75,12.25,0,10.351738
