Time,Mean Temperature (K),Std Dev,Uncertainty (K),Mean Quality Level,Non-Zero Count
2021-01-01 12:00:00,275.32556,1.5615294,0.27039602,2.111111111111111,9.0
2021-01-09 12:00:00,276.9073,2.0845141,0.35255548,3.682926829268293,41.0
2021-01-10 12:00:00,278.04782,1.3258249,0.2406635,4.217391304347826,46.0
2021-01-11 12:00:00,277.62103,1.4815443,0.33355054,4.157894736842105,19.0
2021-01-13 12:00:00,274.36856,1.4131271,0.1926722,1.2857142857142858,7.0
2021-01-15 12:00:00,274.8328,1.0220999,0.20705932,3.16,25.0
2021-01-16 12:00:00,277.58484,1.0076693,0.32724053,4.151515151515151,33.0
2021-01-19 12:00:00,275.07712,1.589448,0.27835768,4.0,7.0
2021-01-21 12:00:00,277.22513,1.8959008,0.29079953,4.090909090909091,33.0
2021-01-22 12:00:00,277.74258,1.5656049,0.18031979,4.333333333333333,27.0
2021-01-24 12:00:00,277.73672,1.2016418,0.26630664,4.4186046511627906,43.0
2021-01-25 12:00:00,272.25,0.0,0.279,1.0,1.0
2021-01-26 12:00:00,275.4,0.0,0.551,5.0,1.0
2021-01-29 12:00:00,276.20636,1.5678872,0.22341543,3.090909090909091,11.0
2021-02-04 12:00:00,272.57874,0.521934,0.19055052,1.0,8.0
2021-02-05 12:00:00,274.29227,1.3944963,0.23080286,1.4545454545454546,22.0
2021-02-08 12:00:00,276.17365,1.4237595,0.33630508,3.272727272727273,11.0
2021-02-11 12:00:00,276.62723,1.4501284,0.37235054,3.9166666666666665,36.0
2021-02-12 12:00:00,277.5143,0.7246367,0.26961654,4.733333333333333,30.0
2021-02-13 12:00:00,277.12228,1.2700789,0.31038553,4.590909090909091,44.0
2021-02-14 12:00:00,277.0107,1.2932799,0.17239907,4.4186046511627906,43.0
2021-02-16 12:00:00,276.7636,1.269675,0.3933824,4.28,25.0
2021-02-17 12:00:00,277.59097,0.9377555,0.26172808,4.096774193548387,31.0
2021-02-20 12:00:00,276.56674,0.9664593,0.22745301,3.282608695652174,46.0
2021-02-21 12:00:00,278.07288,0.605594,0.23093575,3.857142857142857,42.0
2021-02-22 12:00:00,277.2333,0.79238844,0.200035,4.333333333333333,6.0
2021-02-23 12:00:00,278.43967,0.222992,0.17635238,3.4516129032258065,31.0
2021-02-24 12:00:00,278.84784,0.31630772,0.1918875,4.190476190476191,42.0
2021-02-25 12:00:00,279.09937,0.6349388,0.2857576,4.104166666666667,48.0
2021-02-26 12:00:00,278.60605,0.7512083,0.21971111,4.069767441860465,43.0
2021-02-27 12:00:00,278.33066,0.5379638,0.18998492,3.0,15.0
2021-02-28 12:00:00,278.62936,0.51228327,0.2306661,4.23404255319149,47.0
2021-03-01 12:00:00,278.62976,0.6358071,0.18567003,4.4222222222222225,45.0
2021-03-02 12:00:00,278.77942,0.917756,0.22903301,4.228571428571429,35.0
2021-03-04 12:00:00,277.57275,0.62473094,0.21452354,3.6206896551724137,29.0
2021-03-06 12:00:00,278.39755,0.43045843,0.32832164,4.4324324324324325,37.0
2021-03-07 12:00:00,278.02945,0.6773062,0.30408102,3.8,35.0
2021-03-08 12:00:00,278.6251,0.46595317,0.29068902,4.204081632653061,49.0
2021-03-10 12:00:00,273.366,0.79267293,0.21733385,1.0,5.0
2021-03-12 12:00:00,278.12766,1.3013136,0.28524873,4.0,34.0
2021-03-13 12:00:00,278.039,0.8797004,0.27977368,4.4,10.0
2021-03-14 12:00:00,278.44565,0.94808376,0.38369066,3.433333333333333,30.0
2021-03-17 12:00:00,276.62,0.0,0.56100005,1.0,1.0
2021-03-18 12:00:00,277.2562,1.5191092,0.33606175,2.761904761904762,21.0
2021-03-19 12:00:00,278.27563,0.7339451,0.46397397,4.043478260869565,46.0
2021-03-20 12:00:00,276.93332,1.3951005,0.3317998,2.8095238095238093,21.0
2021-03-23 12:00:00,279.13287,0.7220898,0.41121295,4.285714285714286,42.0
2021-03-24 12:00:00,279.75153,1.2783743,0.30326447,4.533333333333333,45.0
2021-03-25 12:00:00,275.44,2.3328009,0.22987281,1.65,20.0
2021-03-26 12:00:00,280.66177,0.90413636,0.19743197,4.333333333333333,45.0
2021-03-27 12:00:00,279.43332,1.9901277,0.24404588,3.142857142857143,21.0
2021-03-28 12:00:00,279.5635,1.1224811,0.2557601,4.375,40.0
2021-03-29 12:00:00,280.2966,1.6637439,0.28264478,3.1818181818181817,44.0
