Time,Mean Temperature (K),Std Dev,Uncertainty (K),Mean Quality Level,Non-Zero Count
2007-01-02 12:00:00,278.45715,0.11106543,0.42548883,4.857142857142857,7.0
2007-01-05 12:00:00,275.97998,0.58044744,0.2884164,3.6,5.0
2007-01-06 12:00:00,278.63998,0.0,0.344,4.0,1.0
2007-01-11 12:00:00,277.95715,1.4280702,0.18187398,3.142857142857143,7.0
2007-01-14 12:00:00,278.67548,0.75883824,0.19062819,4.3,20.0
2007-01-20 12:00:00,277.78998,0.37998962,0.18340257,4.0,2.0
2007-01-25 12:00:00,277.34454,0.2352733,0.52276194,4.545454545454546,11.0
2007-01-28 12:00:00,277.39346,0.59664834,0.25855383,4.6521739130434785,23.0
2007-01-30 12:00:00,277.717,0.32772613,0.20659074,4.351351351351352,37.0
2007-02-02 12:00:00,277.55,0.0,0.20300001,5.0,1.0
2007-02-04 12:00:00,277.9833,0.3084698,0.23410861,4.333333333333333,6.0
2007-02-05 12:00:00,273.13785,0.66717625,0.1861806,1.2142857142857142,14.0
2007-02-09 12:00:00,277.55148,0.5762833,0.22281408,4.592592592592593,27.0
2007-02-15 12:00:00,278.24164,0.15301636,0.2116059,4.25,36.0
2007-02-16 12:00:00,277.48666,0.432462,0.16221003,4.714285714285714,21.0
2007-02-19 12:00:00,278.57,0.0,0.30600002,4.0,1.0
2007-02-21 12:00:00,278.218,0.108519085,0.17676821,3.8,5.0
2007-02-22 12:00:00,277.7831,0.31401673,0.251326,4.5,16.0
2007-02-23 12:00:00,277.125,0.07499695,0.29700676,5.0,2.0
2007-03-02 12:00:00,277.9477,0.2766604,0.31967232,4.230769230769231,13.0
2007-03-03 12:00:00,279.86,0.2599945,0.33102417,1.0,2.0
2007-03-04 12:00:00,279.06888,0.05342887,0.20939729,4.0,9.0
2007-03-09 12:00:00,278.76633,0.6913985,0.25152826,4.386363636363637,44.0
2007-03-10 12:00:00,278.61377,0.54835576,0.24023193,4.5,8.0
2007-03-11 12:00:00,278.93246,0.46629485,0.2212731,4.487804878048781,41.0
2007-03-12 12:00:00,278.83044,0.48530045,0.2353323,4.4186046511627906,43.0
2007-03-13 12:00:00,279.4534,0.9376791,0.25290254,4.024390243902439,41.0
