Time,Mean Temperature (K),Std Dev,Uncertainty (K),Mean Quality Level,Non-Zero Count
2002-01-01 12:00:00,276.9,1.4360943,0.2523627,4.0,24.0
2002-01-02 12:00:00,277.242,0.078329645,0.2370329,4.0,5.0
2002-01-04 12:00:00,276.34998,0.14353003,0.19740063,3.0,4.0
2002-01-08 12:00:00,276.41498,0.19499207,0.23550054,4.0,2.0
2002-01-18 12:00:00,276.3,0.0,0.293,4.0,1.0
2002-01-20 12:00:00,275.24896,1.1159519,0.23782326,2.8,10.0
2002-01-25 12:00:00,277.6467,0.03398877,0.29284924,4.0,3.0
2002-01-28 12:00:00,277.82556,0.35662502,0.2371432,4.777777777777778,9.0
2002-01-30 12:00:00,277.03665,0.41615722,0.25217685,4.666666666666667,6.0
2002-02-01 12:00:00,278.01428,0.1522113,0.2783205,4.428571428571429,7.0
2002-02-02 12:00:00,276.66223,0.54349536,0.21112517,4.666666666666667,18.0
2002-02-03 12:00:00,278.27444,0.020612627,0.20180245,4.0,9.0
2002-02-12 12:00:00,277.69998,0.2954608,0.20746206,4.166666666666667,6.0
2002-02-18 12:00:00,277.02,0.0,0.31500003,4.0,1.0
2002-02-21 12:00:00,276.93,0.42501587,0.5719484,3.272727272727273,11.0
2002-02-24 12:00:00,277.47217,0.4230819,0.51834697,3.130434782608696,23.0
2002-02-27 12:00:00,277.72998,0.0,0.47000003,4.0,1.0
2002-02-28 12:00:00,277.1775,0.18619628,0.29585892,4.0,4.0
2002-03-04 12:00:00,278.23462,0.23447374,0.20066679,4.923076923076923,39.0
2002-03-05 12:00:00,277.30667,0.2644894,0.25241962,4.0,3.0
2002-03-06 12:00:00,276.5426,1.2975949,0.2318357,3.347826086956522,23.0
2002-03-08 12:00:00,278.5128,0.547229,0.19585423,4.6,25.0
2002-03-10 12:00:00,278.91284,0.29016387,0.20889871,4.714285714285714,21.0
2002-03-11 12:00:00,277.98227,0.37973407,0.18857275,4.7727272727272725,22.0
2002-03-12 12:00:00,278.50232,0.3830048,0.23216127,4.3076923076923075,13.0
2002-03-15 12:00:00,279.62,0.0,0.24300002,4.0,1.0
2002-03-18 12:00:00,278.92416,0.36958593,0.20289694,4.0,12.0
2002-03-25 12:00:00,278.34363,0.5892852,0.2226618,3.727272727272727,22.0
2002-03-28 12:00:00,278.91043,0.6213354,0.16533768,4.431818181818182,44.0
2002-03-29 12:00:00,279.76184,0.831095,0.1443882,4.973684210526316,38.0
2002-03-31 12:00:00,280.56308,0.78908336,0.30290005,4.404761904761905,42.0
2002-04-01 12:00:00,281.27176,0.66286296,0.2269294,4.852941176470588,34.0
2002-04-02 12:00:00,281.78787,0.8168151,0.19720359,4.785714285714286,28.0
2002-04-03 12:00:00,281.92618,1.2939054,0.21014866,4.142857142857143,42.0
2002-04-04 12:00:00,281.51416,0.53336847,0.28064987,4.958333333333333,24.0
2002-04-05 12:00:00,280.781,0.6226556,0.23104946,4.9,20.0
2002-04-06 12:00:00,280.62827,0.6386053,0.2443782,4.379310344827586,29.0
2002-04-09 12:00:00,280.425,0.4985435,0.31239188,4.5,30.0
2002-04-10 12:00:00,280.41248,0.8475142,0.43956006,4.041666666666667,24.0
2002-04-16 12:00:00,280.35587,1.0314491,0.38745788,3.5172413793103448,29.0
2002-04-19 12:00:00,275.25,0.0,0.34600002,1.0,1.0
2002-04-21 12:00:00,282.188,0.54193187,0.54379743,4.4,5.0
2002-04-22 12:00:00,281.54498,0.05500794,0.30600083,4.0,2.0
2002-04-26 12:00:00,284.1709,0.6182874,0.5369201,4.818181818181818,22.0
2002-05-01 12:00:00,284.25,0.0,0.77800006,4.0,1.0
2002-05-02 12:00:00,284.32248,0.39162433,0.74086106,4.5,4.0
2002-05-05 12:00:00,281.698,0.104006134,0.45289338,3.8,5.0
2002-05-06 12:00:00,283.96,0.5595718,0.8163017,4.0,11.0
2002-05-07 12:00:00,284.69998,0.0,0.44500002,4.0,1.0
2002-05-10 12:00:00,286.553,1.0821577,0.3152797,4.8,30.0
2002-05-12 12:00:00,286.77713,0.5889439,0.74038893,4.857142857142857,7.0
2002-05-13 12:00:00,287.15567,0.48426694,0.6934372,4.826086956521739,23.0
2002-05-14 12:00:00,286.61835,0.31908587,0.3953897,4.166666666666667,6.0
2002-05-15 12:00:00,287.85248,1.0897727,0.34454334,4.375,40.0
2002-05-16 12:00:00,289.33243,0.88058484,0.23552026,4.484848484848484,33.0
