Time,Mean Temperature (K),Std Dev,Uncertainty (K),Mean Quality Level,Non-Zero Count
1996-07-03 12:00:00,291.08188,0.7853652,0.40046534,3.2162162162162162,37.0
1996-07-19 12:00:00,292.19,0.76068187,0.38661814,2.5625,16.0
1996-07-22 12:00:00,293.1575,0.3793981,0.33006957,4.05,20.0
1996-07-26 12:00:00,292.9133,0.22189018,0.38616458,4.944444444444445,18.0
1996-07-29 12:00:00,294.56607,0.5171115,0.4512109,4.2926829268292686,41.0
1996-08-01 12:00:00,295.5731,0.7448579,0.37060884,4.523809523809524,42.0
1996-08-04 12:00:00,293.7881,0.44113258,0.5100072,4.238095238095238,21.0
1996-08-10 12:00:00,292.12,0.0,0.46100003,1.0,1.0
1996-08-17 12:00:00,292.16666,0.9064295,0.45869598,3.3333333333333335,3.0
1996-08-20 12:00:00,294.275,0.41994414,0.45611596,3.727272727272727,22.0
1996-08-23 12:00:00,293.7608,0.49130177,0.50996745,3.8,25.0
1996-08-30 12:00:00,291.02,0.6019929,0.52534914,3.4285714285714284,7.0
1996-09-02 12:00:00,288.84,0.36999512,0.53400373,3.0,2.0
1996-09-05 12:00:00,290.7263,0.41170648,0.49130267,3.8666666666666667,30.0
1996-09-08 12:00:00,290.094,0.39580733,0.37931782,1.6,5.0
1996-09-11 12:00:00,290.12,0.22561854,0.43245068,3.739130434782609,23.0
1996-09-21 12:00:00,287.0525,0.544937,0.44221893,3.125,16.0
1996-09-30 12:00:00,287.61115,0.2828611,0.21570182,3.769230769230769,26.0
1996-10-04 12:00:00,285.87997,0.3584512,0.32236484,3.2857142857142856,14.0
1996-10-13 12:00:00,285.47037,0.8079185,0.2038931,3.892857142857143,28.0
1996-10-23 12:00:00,283.93665,0.3523092,0.22280611,3.2777777777777777,18.0
1996-10-26 12:00:00,284.275,0.1738474,0.3428637,2.0,4.0
1996-10-29 12:00:00,284.905,0.38500312,0.33535492,4.333333333333333,12.0
1996-11-04 12:00:00,281.69998,1.2562929,0.19901885,2.75,4.0
1996-11-08 12:00:00,283.05075,0.699987,0.30640408,4.384615384615385,13.0
1996-11-20 12:00:00,280.57715,0.7015082,0.31757295,3.0,7.0
1996-12-03 12:00:00,279.18387,0.9893322,0.24698198,3.903225806451613,31.0
1996-12-16 12:00:00,274.49,0.0,0.18800001,1.0,1.0
