Time,Mean Temperature (K),Std Dev,Uncertainty (K),Mean Quality Level,Non-Zero Count
2004-01-09 12:00:00,274.10666,1.6542944,0.45375767,3.0,3.0
2004-01-10 12:00:00,276.62332,0.16779695,0.2619351,5.0,3.0
2004-01-22 12:00:00,275.53125,1.3806987,0.25438142,3.5625,32.0
2004-01-23 12:00:00,276.93152,0.246008,0.40422472,4.846153846153846,13.0
2004-01-28 12:00:00,271.54,0.0,0.252,1.0,1.0
2004-01-30 12:00:00,276.559,0.22875705,0.2425971,4.65,20.0
2004-01-31 12:00:00,275.62167,1.5328221,0.2371674,3.8333333333333335,24.0
2004-02-01 12:00:00,277.83533,0.5244587,0.17651111,4.3,30.0
2004-02-05 12:00:00,277.6875,0.23288457,0.26074654,4.833333333333333,12.0
2004-02-06 12:00:00,277.15128,0.5630035,0.16884916,4.774193548387097,31.0
2004-02-07 12:00:00,277.63864,0.46176362,0.21344742,2.7333333333333334,15.0
2004-02-09 12:00:00,277.3106,0.52854186,0.4958975,4.6875,16.0
2004-02-10 12:00:00,276.67325,0.7841127,0.3616843,4.488372093023256,43.0
2004-02-13 12:00:00,277.0205,0.46921638,0.35172606,4.526315789473684,38.0
2004-02-14 12:00:00,277.861,0.15138802,0.2527768,4.7,20.0
2004-02-15 12:00:00,277.53357,0.22998461,0.32387853,4.785714285714286,14.0
2004-02-16 12:00:00,277.53372,0.26305795,0.21345912,4.395348837209302,43.0
2004-02-18 12:00:00,277.36002,0.23074213,0.54738253,4.8,5.0
2004-02-20 12:00:00,277.4173,0.29443184,0.22840215,4.864864864864865,37.0
2004-02-25 12:00:00,276.8637,0.38161623,0.34027654,4.703703703703703,27.0
2004-02-29 12:00:00,272.34286,0.5781671,0.23209974,1.0,7.0
2004-03-03 12:00:00,277.1071,0.6718196,0.35274428,4.631578947368421,38.0
2004-03-05 12:00:00,277.80057,0.13212653,0.40488824,4.942857142857143,35.0
2004-03-07 12:00:00,277.7894,0.30683535,0.36754522,4.9411764705882355,34.0
2004-03-09 12:00:00,277.63342,0.26036218,0.41180256,4.942857142857143,35.0
2004-03-10 12:00:00,277.0,0.4366908,0.3382222,4.5675675675675675,37.0
2004-03-13 12:00:00,272.8018,1.1082164,0.24750924,1.1818181818181819,11.0
2004-03-14 12:00:00,278.11066,0.2885679,0.43321437,4.733333333333333,15.0
2004-03-16 12:00:00,276.07794,1.4875907,0.1789576,2.128205128205128,39.0
2004-03-17 12:00:00,280.04498,0.20500183,0.30561823,4.0,2.0
2004-03-18 12:00:00,279.23666,0.6871048,0.21005754,4.333333333333333,6.0
2004-03-19 12:00:00,279.50186,0.8858548,0.19482653,4.222222222222222,27.0
2004-03-22 12:00:00,277.81,0.31856573,0.22946417,2.4,5.0
2004-03-27 12:00:00,278.565,0.3214397,0.41718075,4.4375,16.0
2004-03-28 12:00:00,279.16718,0.5456412,0.3086745,4.875,32.0
2004-03-29 12:00:00,279.1114,0.59607077,0.21670347,4.604651162790698,43.0
2004-03-30 12:00:00,279.63666,0.63339806,0.1682362,4.916666666666667,36.0
2004-03-31 12:00:00,280.305,0.6365795,0.20869744,4.923076923076923,26.0
2004-04-01 12:00:00,281.12817,0.83934295,0.2271731,4.431818181818182,44.0
2004-04-02 12:00:00,280.3554,0.664973,0.27639827,4.0,13.0
2004-04-05 12:00:00,280.19,0.0,0.546,5.0,1.0
2004-04-07 12:00:00,276.115,0.9966581,0.35207033,2.0,6.0
2004-04-08 12:00:00,279.945,0.5149994,0.47115284,4.5,2.0
2004-04-11 12:00:00,280.306,0.30558285,0.66157496,4.0,5.0
2004-04-12 12:00:00,280.35724,0.5854942,0.40949127,4.090909090909091,11.0
2004-04-14 12:00:00,281.44,0.0,0.44300002,4.0,1.0
2004-04-15 12:00:00,284.4,0.0,0.36,5.0,1.0
2004-04-16 12:00:00,282.174,0.5941566,0.20456736,4.84,25.0
2004-04-17 12:00:00,282.21002,1.180346,0.26530072,4.235294117647059,17.0
2004-04-18 12:00:00,281.964,0.4856177,0.60732436,4.866666666666666,15.0
2004-04-20 12:00:00,280.06082,1.2659558,0.27550936,3.135135135135135,37.0
2004-04-21 12:00:00,283.73822,0.5800184,0.3522855,4.764705882352941,17.0
2004-04-23 12:00:00,283.53598,1.6867198,0.35018006,2.75,20.0
2004-04-24 12:00:00,283.25668,1.1787189,0.52786344,4.416666666666667,12.0
2004-04-26 12:00:00,283.8436,1.1083066,0.3416625,4.435897435897436,39.0
2004-04-28 12:00:00,285.80606,0.7301556,0.3104229,4.787878787878788,33.0
2004-04-29 12:00:00,283.46747,0.23349695,0.22054932,4.5,4.0
