time,lat,lon,realization,data
1940-01-01,48.0,12.25,0,3533.2869
1940-01-01,48.0,12.5,0,3545.3828
1940-01-01,48.0,12.75,0,3639.6543
1940-01-01,48.0,13.0,0,3707.5132
1940-01-01,48.0,13.25,0,3778.326
1940-01-01,48.0,13.5,0,3744.3918
1940-01-01,48.0,13.75,0,3716.9429
1940-01-01,48.0,14.0,0,3740.4075
1940-01-01,48.0,14.25,0,3734.7722
1940-01-01,48.0,14.5,0,3755.9412
1940-01-01,48.0,14.75,0,3772.1733
1940-01-01,48.0,15.0,0,3878.5989
1940-01-01,48.25,5.75,0,2954.1006
1940-01-01,48.25,6.0,0,2974.0596
1940-01-01,48.25,6.25,0,2953.901
1940-01-01,48.25,6.5,0,3039.38
1940-01-01,48.25,6.75,0,3221.245
1940-01-01,48.25,7.0,0,3301.1877
1940-01-01,48.25,7.25,0,3232.394
1940-01-01,48.25,7.5,0,2882.304
1940-01-01,48.25,7.75,0,2863.7598
1940-01-01,48.25,8.0,0,3161.8623
1940-01-01,48.25,8.25,0,3492.9214
1940-01-01,48.25,8.5,0,3697.1687
1940-01-01,48.25,8.75,0,3654.8386
1940-01-01,48.25,9.0,0,3686.768
1940-01-01,48.25,9.25,0,3742.108
1940-01-01,48.25,9.5,0,3711.471
1940-01-01,48.25,9.75,0,3634.9968
1940-01-01,48.25,10.0,0,3549.454
1940-01-01,48.25,10.25,0,3547.4985
1940-01-01,48.25,10.5,0,3555.664
1940-01-01,48.25,10.75,0,3546.0986
1940-01-01,48.25,11.0,0,3499.042
1940-01-01,48.25,11.25,0,3461.3748
1940-01-01,48.25,11.5,0,3509.5532
1940-01-01,48.25,11.75,0,3504.9058
1940-01-01,48.25,12.0,0,3456.9927
1940-01-01,48.25,12.25,0,3398.1628
1940-01-01,48.25,12.5,0,3378.0288
1940-01-01,48.25,12.75,0,3409.0972
1940-01-01,48.25,13.0,0,3465.1943
1940-01-01,48.25,13.25,0,3510.751
1940-01-01,48.25,13.5,0,3499.5781
1940-01-01,48.25,13.75,0,3468.834
1940-01-01,48.25,14.0,0,3474.2183
1940-01-01,48.25,14.25,0,3489.309
1940-01-01,48.25,14.5,0,3508.7964
1940-01-01,48.25,14.75,0,3580.084
1940-01-01,48.25,15.0,0,3616.502
1940-01-01,48.5,5.75,0,2954.5413
1940-01-01,48.5,6.0,0,2989.1865
1940-01-01,48.5,6.25,0,2887.9404
1940-01-01,48.5,6.5,0,2871.164
1940-01-01,48.5,6.75,0,2968.1807
1940-01-01,48.5,7.0,0,3144.9602
1940-01-01,48.5,7.25,0,3249.0525
1940-01-01,48.5,7.5,0,2920.3525
1940-01-01,48.5,7.75,0,2843.8936
1940-01-01,48.5,8.0,0,2922.7126
1940-01-01,48.5,8.25,0,3311.6978
1940-01-01,48.5,8.5,0,3530.3044
1940-01-01,48.5,8.75,0,3461.2488
1940-01-01,48.5,9.0,0,3460.9324
1940-01-01,48.5,9.25,0,3498.8008
1940-01-01,48.5,9.5,0,3605.957
1940-01-01,48.5,9.75,0,3628.4995
1940-01-01,48.5,10.0,0,3555.0864
1940-01-01,48.5,10.25,0,3517.7202
1940-01-01,48.5,10.5,0,3482.079
1940-01-01,48.5,10.75,0,3444.6826
1940-01-01,48.5,11.0,0,3424.8223
1940-01-01,48.5,11.25,0,3413.276
1940-01-01,48.5,11.5,0,3423.837
1940-01-01,48.5,11.75,0,3436.229
1940-01-01,48.5,12.0,0,3447.4294
1940-01-01,48.5,12.25,0,3475.2568
1940-01-01,48.5,12.5,0,3473.3367
1940-01-01,48.5,12.75,0,3428.354
1940-01-01,48.5,13.0,0,3434.289
1940-01-01,48.5,13.25,0,3447.7134
1940-01-01,48.5,13.5,0,3533.6487
1940-01-01,48.5,13.75,0,3647.8862
1940-01-01,48.5,14.0,0,3752.8435
1940-01-01,48.5,14.25,0,3850.6963
1940-01-01,48.5,14.5,0,3912.8413
1940-01-01,48.5,14.75,0,4046.989
1940-01-01,48.5,15.0,0,4032.101
1940-01-01,48.75,5.75,0,2871.75
1940-01-01,48.75,6.0,0,2877.5947
1940-01-01,48.75,6.25,0,2876.331
1940-01-01,48.75,6.5,0,2888.022
1940-01-01,48.75,6.75,0,2913.1113
1940-01-01,48.75,7.0,0,3006.0034
1940-01-01,48.75,7.25,0,3051.5898
1940-01-01,48.75,7.5,0,2876.5088
1940-01-01,48.75,7.75,0,2809.7935
1940-01-01,48.75,8.0,0,2818.33
1940-01-01,48.75,8.25,0,3156.192
1940-01-01,48.75,8.5,0,3371.0608
1940-01-01,48.75,8.75,0,3369.3152
1940-01-01,48.75,9.0,0,3310.6553
1940-01-01,48.75,9.25,0,3285.9062
1940-01-01,48.75,9.5,0,3408.857
1940-01-01,48.75,9.75,0,3513.9207
1940-01-01,48.75,10.0,0,3597.1743
1940-01-01,48.75,10.25,0,3549.8533
1940-01-01,48.75,10.5,0,3510.6904
1940-01-01,48.75,10.75,0,3479.8833
1940-01-01,48.75,11.0,0,3456.738
1940-01-01,48.75,11.25,0,3438.3242
1940-01-01,48.75,11.5,0,3430.7852
1940-01-01,48.75,11.75,0,3411.8713
1940-01-01,48.75,12.0,0,3380.5503
1940-01-01,48.75,12.25,0,3409.975
1940-01-01,48.75,12.5,0,3437.7168
1940-01-01,48.75,12.75,0,3476.6099
1940-01-01,48.75,13.0,0,3537.0142
1940-01-01,48.75,13.25,0,3631.1187
1940-01-01,48.75,13.5,0,3874.6152
1940-01-01,48.75,13.75,0,4039.0571
1940-01-01,48.75,14.0,0,4147.5996
1940-01-01,48.75,14.25,0,4039.7834
1940-01-01,48.75,14.5,0,3944.3245
1940-01-01,48.75,14.75,0,3887.1772
1940-01-01,48.75,15.0,0,3873.4966
1940-01-01,49.0,5.75,0,2872.7388
1940-01-01,49.0,6.0,0,2873.0044
1940-01-01,49.0,6.25,0,2873.0793
1940-01-01,49.0,6.5,0,2907.8093
