time,lat,lon,realization,t2m
1940-01-01,48.0,12.25,0,1773.4655
1940-01-01,48.0,12.5,0,1764.152
1940-01-01,48.0,12.75,0,1696.4111
1940-01-01,48.0,13.0,0,1649.4885
1940-01-01,48.0,13.25,0,1607.5037
1940-01-01,48.0,13.5,0,1637.3474
1940-01-01,48.0,13.75,0,1662.7667
1940-01-01,48.0,14.0,0,1671.0208
1940-01-01,48.0,14.25,0,1691.4731
1940-01-01,48.0,14.5,0,1680.9
1940-01-01,48.0,14.75,0,1674.6647
1940-01-01,48.0,15.0,0,1596.1584
1940-01-01,48.25,5.75,0,1935.3634
1940-01-01,48.25,6.0,0,1937.0582
1940-01-01,48.25,6.25,0,1964.2782
1940-01-01,48.25,6.5,0,1899.0374
1940-01-01,48.25,6.75,0,1748.2313
1940-01-01,48.25,7.0,0,1704.8091
1940-01-01,48.25,7.25,0,1785.7578
1940-01-01,48.25,7.5,0,2095.4304
1940-01-01,48.25,7.75,0,2120.7112
1940-01-01,48.25,8.0,0,1871.1777
1940-01-01,48.25,8.25,0,1634.6733
1940-01-01,48.25,8.5,0,1500.2006
1940-01-01,48.25,8.75,0,1552.7976
1940-01-01,48.25,9.0,0,1551.3142
1940-01-01,48.25,9.25,0,1535.6096
1940-01-01,48.25,9.5,0,1568.1714
1940-01-01,48.25,9.75,0,1637.0356
1940-01-01,48.25,10.0,0,1715.8132
1940-01-01,48.25,10.25,0,1726.5969
1940-01-01,48.25,10.5,0,1726.383
1940-01-01,48.25,10.75,0,1740.1426
1940-01-01,48.25,11.0,0,1786.4009
1940-01-01,48.25,11.25,0,1835.989
1940-01-01,48.25,11.5,0,1811.6958
1940-01-01,48.25,11.75,0,1820.2272
1940-01-01,48.25,12.0,0,1868.4329
1940-01-01,48.25,12.25,0,1915.7444
1940-01-01,48.25,12.5,0,1938.498
1940-01-01,48.25,12.75,0,1924.1925
1940-01-01,48.25,13.0,0,1880.6073
1940-01-01,48.25,13.25,0,1841.1145
1940-01-01,48.25,13.5,0,1837.3965
1940-01-01,48.25,13.75,0,1868.0221
1940-01-01,48.25,14.0,0,1876.2834
1940-01-01,48.25,14.25,0,1863.3662
1940-01-01,48.25,14.5,0,1851.4784
1940-01-01,48.25,14.75,0,1799.4946
1940-01-01,48.25,15.0,0,1796.9443
1940-01-01,48.5,5.75,0,1935.3545
1940-01-01,48.5,6.0,0,1923.8733
1940-01-01,48.5,6.25,0,2015.5707
1940-01-01,48.5,6.5,0,2039.5577
1940-01-01,48.5,6.75,0,1966.1907
1940-01-01,48.5,7.0,0,1841.9116
1940-01-01,48.5,7.25,0,1783.1992
1940-01-01,48.5,7.5,0,2058.287
1940-01-01,48.5,7.75,0,2140.833
1940-01-01,48.5,8.0,0,2100.1855
1940-01-01,48.5,8.25,0,1786.4944
1940-01-01,48.5,8.5,0,1628.9082
1940-01-01,48.5,8.75,0,1690.9795
1940-01-01,48.5,9.0,0,1720.6206
1940-01-01,48.5,9.25,0,1720.5112
1940-01-01,48.5,9.5,0,1648.5781
1940-01-01,48.5,9.75,0,1639.3083
1940-01-01,48.5,10.0,0,1702.0862
1940-01-01,48.5,10.25,0,1753.531
1940-01-01,48.5,10.5,0,1802.37
1940-01-01,48.5,10.75,0,1845.5518
1940-01-01,48.5,11.0,0,1865.0259
1940-01-01,48.5,11.25,0,1882.4385
