time,lat,lon,realization,t2m
1940-01-01,48.75,11.75,0,113
1940-01-01,48.75,12.0,0,115
1940-01-01,48.75,12.25,0,115
1940-01-01,48.75,12.5,0,119
1940-01-01,48.75,12.75,0,121
1940-01-01,48.75,13.0,0,122
1940-01-01,48.75,13.25,0,126
1940-01-01,48.75,13.5,0,135
1940-01-01,48.75,13.75,0,140
1940-01-01,48.75,14.0,0,143
1940-01-01,48.75,14.25,0,137
1940-01-01,48.75,14.5,0,135
1940-01-01,48.75,14.75,0,134
1940-01-01,48.75,15.0,0,135
1940-01-01,49.0,5.75,0,87
1940-01-01,49.0,6.0,0,86
1940-01-01,49.0,6.25,0,92
1940-01-01,49.0,6.5,0,93
1940-01-01,49.0,6.75,0,99
1940-01-01,49.0,7.0,0,97
1940-01-01,49.0,7.25,0,99
1940-01-01,49.0,7.5,0,99
1940-01-01,49.0,7.75,0,96
1940-01-01,49.0,8.0,0,90
1940-01-01,49.0,8.25,0,82
1940-01-01,49.0,8.5,0,84
1940-01-01,49.0,8.75,0,86
1940-01-01,49.0,9.0,0,96
1940-01-01,49.0,9.25,0,101
1940-01-01,49.0,9.5,0,110
1940-01-01,49.0,9.75,0,113
1940-01-01,49.0,10.0,0,116
1940-01-01,49.0,10.25,0,115
1940-01-01,49.0,10.5,0,111
1940-01-01,49.0,10.75,0,113
1940-01-01,49.0,11.0,0,114
1940-01-01,49.0,11.25,0,115
1940-01-01,49.0,11.5,0,117
1940-01-01,49.0,11.75,0,120
1940-01-01,49.0,12.0,0,123
1940-01-01,49.0,12.25,0,126
1940-01-01,49.0,12.5,0,125
1940-01-01,49.0,12.75,0,134
1940-01-01,49.0,13.0,0,136
1940-01-01,49.0,13.25,0,140
1940-01-01,49.0,13.5,0,140
1940-01-01,49.0,13.75,0,141
1940-01-01,49.0,14.0,0,134
1940-01-01,49.0,14.25,0,131
1940-01-01,49.0,14.5,0,129
1940-01-01,49.0,14.75,0,132
1940-01-01,49.0,15.0,0,133
1940-01-01,49.25,5.75,0,88
1940-01-01,49.25,6.0,0,89
1940-01-01,49.25,6.25,0,89
1940-01-01,49.25,6.5,0,94
1940-01-01,49.25,6.75,0,96
1940-01-01,49.25,7.0,0,96
1940-01-01,49.25,7.25,0,99
1940-01-01,49.25,7.5,0,101
1940-01-01,49.25,7.75,0,97
1940-01-01,49.25,8.0,0,94
1940-01-01,49.25,8.25,0,87
1940-01-01,49.25,8.5,0,90
1940-01-01,49.25,8.75,0,94
1940-01-01,49.25,9.0,0,99
1940-01-01,49.25,9.25,0,104
1940-01-01,49.25,9.5,0,106
1940-01-01,49.25,9.75,0,108
1940-01-01,49.25,10.0,0,107
1940-01-01,49.25,10.25,0,108
1940-01-01,49.25,10.5,0,106
1940-01-01,49.25,10.75,0,105
1940-01-01,49.25,11.0,0,107
1940-01-01,49.25,11.25,0,113
1940-01-01,49.25,11.5,0,115
1940-01-01,49.25,11.75,0,116
1940-01-01,49.25,12.0,0,117
1940-01-01,49.25,12.25,0,119
1940-01-01,49.25,12.5,0,123
1940-01-01,49.25,12.75,0,128
1940-01-01,49.25,13.0,0,134
1940-01-01,49.25,13.25,0,133
1940-01-01,49.25,13.5,0,137
1940-01-01,49.25,13.75,0,139
1940-01-01,49.25,14.0,0,132
1940-01-01,49.25,14.25,0,131
1940-01-01,49.25,14.5,0,132
1940-01-01,49.25,14.75,0,137
1940-01-01,49.25,15.0,0,137
1940-01-01,49.5,5.75,0,92
1940-01-01,49.5,6.0,0,91
1940-01-01,49.5,6.25,0,93
1940-01-01,49.5,6.5,0,96
1940-01-01,49.5,6.75,0,100
1940-01-01,49.5,7.0,0,102
1940-01-01,49.5,7.25,0,101
1940-01-01,49.5,7.5,0,99
1940-01-01,49.5,7.75,0,98
1940-01-01,49.5,8.0,0,92
1940-01-01,49.5,8.25,0,89
1940-01-01,49.5,8.5,0,91
1940-01-01,49.5,8.75,0,99
1940-01-01,49.5,9.0,0,102
1940-01-01,49.5,9.25,0,104
1940-01-01,49.5,9.5,0,103
1940-01-01,49.5,9.75,0,105
1940-01-01,49.5,10.0,0,103
1940-01-01,49.5,10.25,0,105
1940-01-01,49.5,10.5,0,104
1940-01-01,49.5,10.75,0,106
1940-01-01,49.5,11.0,0,107
1940-01-01,49.5,11.25,0,107
1940-01-01,49.5,11.5,0,115
1940-01-01,49.5,11.75,0,116
1940-01-01,49.5,12.0,0,118
1940-01-01,49.5,12.25,0,126
1940-01-01,49.5,12.5,0,133
1940-01-01,49.5,12.75,0,132
1940-01-01,49.5,13.0,0,129
1940-01-01,49.5,13.25,0,131
1940-01-01,49.5,13.5,0,134
1940-01-01,49.5,13.75,0,138
1940-01-01,49.5,14.0,0,136
1940-01-01,49.5,14.25,0,134
1940-01-01,49.5,14.5,0,135
1940-01-01,49.5,14.75,0,134
1940-01-01,49.5,15.0,0,135
1940-01-01,49.75,5.75,0,102
1940-01-01,49.75,6.0,0,96
1940-01-01,49.75,6.25,0,93
1940-01-01,49.75,6.5,0,97
1940-01-01,49.75,6.75,0,103
1940-01-01,49.75,7.0,0,102
1940-01-01,49.75,7.25,0,101
1940-01-01,49.75,7.5,0,98
1940-01-01,49.75,7.75,0,93
1940-01-01,49.75,8.0,0,93
1940-01-01,49.75,8.25,0,88
1940-01-01,49.75,8.5,0,89
1940-01-01,49.75,8.75,0,93
1940-01-01,49.75,9.0,0,96
1940-01-01,49.75,9.25,0,101
1940-01-01,49.75,9.5,0,100
1940-01-01,49.75,9.75,0,101
1940-01-01,49.75,10.0,0,102
1940-01-01,49.75,10.25,0,102
